panel,sample,scope,value_column,statistic,bin_left,bin_right,bin_centre,mass_location,n_galaxies,n_groups,estimate,ci16,ci84,displayed,interval_method
strong_halpha,CG4,all,strong_halpha,fraction,7.0,9.5,8.25,9.305901500000001,10,8,1.0,1.0,1.0,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,CG4,all,strong_halpha,fraction,9.5,10.0,9.75,9.83043,38,30,0.7368421052631579,0.6666666666666666,0.8048780487804879,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,CG4,all,strong_halpha,fraction,10.0,10.5,10.25,10.18646,72,49,0.25,0.2,0.2987012987012987,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,CG4,all,strong_halpha,fraction,10.5,11.0,10.75,10.734925,54,40,0.16666666666666666,0.11320754716981132,0.21818181818181817,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,CG4,all,strong_halpha,fraction,11.0,12.5,11.75,11.14546,43,42,0.11627906976744186,0.06818181818181818,0.16666666666666666,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,CG4,all,agn_like,fraction,7.0,9.5,8.25,9.305901500000001,10,8,0.0,0.0,0.0,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,CG4,all,agn_like,fraction,9.5,10.0,9.75,9.795451499999999,30,25,0.03333333333333333,0.0,0.06666666666666667,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,CG4,all,agn_like,fraction,10.0,10.5,10.25,10.206389999999999,58,43,0.39655172413793105,0.3333333333333333,0.4576271186440678,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,CG4,all,agn_like,fraction,10.5,11.0,10.75,10.73842,47,36,0.574468085106383,0.5,0.65,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,CG4,all,agn_like,fraction,11.0,12.5,11.75,11.14546,39,38,0.48717948717948717,0.4,0.5641025641025641,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,CG4,all,Dn4000,median,7.0,9.5,8.25,9.313793,11,9,1.183016,1.12704,1.2551459999999999,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,CG4,all,Dn4000,median,9.5,10.0,9.75,9.795451499999999,42,33,1.3360275,1.314636,1.380911,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,CG4,all,Dn4000,median,10.0,10.5,10.25,10.19361,78,52,1.7664265000000001,1.7088969999999999,1.797703,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,CG4,all,Dn4000,median,10.5,11.0,10.75,10.73482,57,41,1.892867,1.879524,1.90588,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,CG4,all,Dn4000,median,11.0,12.5,11.75,11.14385,46,45,1.9641845,1.935942,1.975929,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,CG4,all,log_Rchl_r_kpc,median,7.0,9.5,8.25,9.313793,11,9,0.5114063238231976,0.40201279844303095,0.5317947382784252,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,CG4,all,log_Rchl_r_kpc,median,9.5,10.0,9.75,9.790443,39,32,0.37965056508677203,0.3583791713025566,0.4253903427106158,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,CG4,all,log_Rchl_r_kpc,median,10.0,10.5,10.25,10.18736,73,49,0.3802119609070278,0.3651149131936125,0.39697263320155435,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,CG4,all,log_Rchl_r_kpc,median,10.5,11.0,10.75,10.72501,53,39,0.6060935666238081,0.5721786853598841,0.6322079804773896,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,CG4,all,log_Rchl_r_kpc,median,11.0,12.5,11.75,11.10601,16,16,0.8151907487795328,0.7708456206361992,0.8441183188468849,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,Control4B,all,strong_halpha,fraction,7.0,9.5,8.25,9.3751355,80,70,0.9875,0.9746835443037974,1.0,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,Control4B,all,strong_halpha,fraction,9.5,10.0,9.75,9.798622,291,234,0.7663230240549829,0.738255033557047,0.7934483250178189,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,Control4B,all,strong_halpha,fraction,10.0,10.5,10.25,10.28582,607,413,0.5799011532125206,0.5607321131447587,0.5989761092150171,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,Control4B,all,strong_halpha,fraction,10.5,11.0,10.75,10.756355,894,512,0.2986577181208054,0.28201818226132735,0.3150502786591887,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,Control4B,all,strong_halpha,fraction,11.0,12.5,11.75,11.144670000000001,616,471,0.16071428571428573,0.14544979203802733,0.17545215696245442,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,Control4B,all,agn_like,fraction,7.0,9.5,8.25,9.3751355,80,70,0.0,0.0,0.0,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,Control4B,all,agn_like,fraction,9.5,10.0,9.75,9.797587499999999,264,218,0.07954545454545454,0.06343283582089553,0.09558823529411764,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,Control4B,all,agn_like,fraction,10.0,10.5,10.25,10.29527,547,385,0.22120658135283364,0.20437956204379562,0.24074074074074073,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,Control4B,all,agn_like,fraction,10.5,11.0,10.75,10.75761,835,494,0.5125748502994012,0.4945544142775495,0.5296251511487303,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,Control4B,all,agn_like,fraction,11.0,12.5,11.75,11.14472,595,460,0.6168067226890757,0.5969082481140978,0.6360845040737886,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,Control4B,all,Dn4000,median,7.0,9.5,8.25,9.358971499999999,94,83,1.20649,1.200689,1.2216965,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,Control4B,all,Dn4000,median,9.5,10.0,9.75,9.803205,307,247,1.34161,1.326711,1.353011,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,Control4B,all,Dn4000,median,10.0,10.5,10.25,10.284365000000001,642,436,1.588629,1.56501412,1.605261,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,Control4B,all,Dn4000,median,10.5,11.0,10.75,10.75455,959,539,1.851798,1.847107,1.860978,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,Control4B,all,Dn4000,median,11.0,12.5,11.75,11.14429,637,489,1.935559,1.931893,1.93924,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,Control4B,all,log_Rchl_r_kpc,median,7.0,9.5,8.25,9.36869,81,72,0.49788404295566896,0.46673348828993816,0.5234000422432494,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,Control4B,all,log_Rchl_r_kpc,median,9.5,10.0,9.75,9.800545,291,235,0.4513009699964273,0.432504998934142,0.4632194139802592,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,Control4B,all,log_Rchl_r_kpc,median,10.0,10.5,10.25,10.283165,608,424,0.48374606263123365,0.47523260534594847,0.5031365762602409,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,Control4B,all,log_Rchl_r_kpc,median,10.5,11.0,10.75,10.72458,717,435,0.6055749511525523,0.6016977711773257,0.6144235388973176,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
log_rchl,Control4B,all,log_Rchl_r_kpc,median,11.0,12.5,11.75,11.088115,220,196,0.752389010591632,0.7407182950125365,0.7569947403826834,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,Control4C,all,strong_halpha,fraction,7.0,9.5,8.25,9.367187000000001,138,120,0.9710144927536232,0.9565217391304348,0.9855072463768116,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,Control4C,all,strong_halpha,fraction,9.5,10.0,9.75,9.802057,503,379,0.68389662027833,0.6620825147347741,0.7055354106364166,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,Control4C,all,strong_halpha,fraction,10.0,10.5,10.25,10.24455,725,499,0.46482758620689657,0.446524064171123,0.4837869410105368,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,Control4C,all,strong_halpha,fraction,10.5,11.0,10.75,10.75337,609,435,0.2939244663382594,0.2746655258906555,0.3140916808149406,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
strong_halpha,Control4C,all,strong_halpha,fraction,11.0,12.5,11.75,11.152445,516,466,0.16279069767441862,0.14705882352941177,0.17940497161871205,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,Control4C,all,agn_like,fraction,7.0,9.5,8.25,9.367236,135,117,0.0,0.0,0.0,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,Control4C,all,agn_like,fraction,9.5,10.0,9.75,9.800545,445,347,0.09662921348314607,0.08296786574500166,0.11084992810144233,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,Control4C,all,agn_like,fraction,10.0,10.5,10.25,10.25096,615,452,0.23902439024390243,0.22168284789644013,0.25518873793267643,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,Control4C,all,agn_like,fraction,10.5,11.0,10.75,10.76002,563,408,0.5079928952042628,0.48699449928415345,0.5297217917217917,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
agn_like,Control4C,all,agn_like,fraction,11.0,12.5,11.75,11.15274,497,449,0.607645875251509,0.5863232239302035,0.6289784946236558,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,Control4C,all,Dn4000,median,7.0,9.5,8.25,9.3587015,156,135,1.2135755000000001,1.207022,1.223678,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
dn4000,Control4C,all,Dn4000,median,9.5,10.0,9.75,9.802809,530,399,1.3908545,1.3830185,1.39685226,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
