Sample,Domination,Quantity1,Quantity2,Spear_corr,Spear_pval
Control4B,False,size_Group_Bary_kpc,Lum_group,0.4475943959065035,3.3593891860795696e-26
Control4C,True,Vdisp,Lum_group,0.4265137039929183,1.706256395347321e-18
Control4B,True,size_Group_Bary_kpc,Lum_group,0.5318774062858246,1.4602832608732094e-15
Control4B,False,Vdisp,Lum_group,0.3403780991561242,3.892112878918608e-15
Control4C,True,size_Group_Bary_kpc,Vdisp,-0.2952996475348566,3.3121161970327207e-09
Control4C,False,size_Group_Bary_kpc,Vdisp,-0.3162918271139677,8.529238999356035e-09
Control4C,False,Vdisp,Lum_group,0.29109893247764784,1.3123371328496416e-07
Control4B,True,Vdisp,Lum_group,0.24207533292518066,0.0006722565654812398
Control4C,True,size_Group_Bary_kpc,Lum_group,0.14920266302360533,0.0032999181779095462
Control4C,False,Vdisp,Voffset,-0.14876751609872527,0.007976905773941063
RG4,False,size_Group_Bary_kpc,Lum_group,0.4616240266963292,0.01023315325971891
RG4,True,size_Group_Bary_kpc,Lum_group,0.49401709401709404,0.010315046586223432
Control4C,True,Vdisp,Voffset,-0.12731028460634436,0.012302998494831869
Control4B,False,size_Group_Bary_kpc,Offset_Bary,-0.11091986506233698,0.012714962441748823
CG4,True,size_Group_Bary_kpc,Offset_Bary,-0.4007722007722008,0.015423488232173614
Control4B,False,Vdisp,Voffset,-0.10106827212116273,0.023258823171631277
CG4,False,Voffset,Lum_group,0.41880341880341876,0.03321616373154643
CG4,True,size_Group_Bary_kpc,Vdisp,-0.3528957528957529,0.03476354238915567
CG4,False,Offset_Bary,Vdisp,-0.3736752136752136,0.06004806966797321
Control4B,True,size_Group_Bary_kpc,Voffset,-0.13361301376898835,0.0632651034864166
CG4,False,size_Group_Bary_kpc,Offset_Bary,-0.3538461538461538,0.07615972259350609
Control4B,True,Vdisp,Voffset,-0.12003057035907844,0.09550233529663843
Control4B,False,Voffset,Lum_group,0.07013674670505962,0.11581297719398018
RG4,False,Vdisp,Lum_group,0.28231368186874306,0.13065345801091205
RG4,True,size_Group_Bary_kpc,Offset_Bary,0.2875213675213675,0.15437300788558564
Control4B,False,Offset_Bary,Vdisp,-0.062381299192117476,0.16201053311389965
RG4,False,Offset_Bary,Vdisp,0.2587319243604005,0.16741512564102473
CG4,True,Vdisp,Voffset,-0.23346203346203348,0.17057454180217455
CG4,True,size_Group_Bary_kpc,Lum_group,0.22651222651222655,0.1840286879982078
CG4,True,Voffset,Lum_group,0.22625482625482626,0.1845409921991475
RG4,False,Voffset,Lum_group,-0.2462736373748609,0.18955614976437687
RG4,False,size_Group_Bary_kpc,Vdisp,-0.23781979977753054,0.20569448000124949
Control4C,True,Offset_Bary,Vdisp,-0.062237613773943455,0.22246774452204354
Control4C,False,size_Group_Bary_kpc,Voffset,-0.06794577477681782,0.22768035016879654
RG4,False,Offset_Bary,Lum_group,0.2253615127919911,0.23115666528541257
RG4,True,Offset_Bary,Vdisp,-0.23965811965811962,0.2383173762571138
Control4B,True,Offset_Bary,Voffset,0.08177981945408899,0.25696245859731776
CG4,True,size_Group_Bary_kpc,Voffset,0.1904761904761905,0.2658161410789247
RG4,False,Vdisp,Voffset,-0.19911012235817574,0.2914990822019439
CG4,False,size_Group_Bary_kpc,Lum_group,-0.21435897435897436,0.29300602632589584
RG4,False,Offset_Bary,Voffset,-0.18309232480533927,0.3328219813746036
RG4,True,Voffset,Lum_group,0.1911111111111111,0.3496786228612845
CG4,False,Vdisp,Lum_group,0.18564102564102564,0.3638989666000729
RG4,True,size_Group_Bary_kpc,Vdisp,-0.18495726495726494,0.3656999708272938
RG4,True,Vdisp,Voffset,0.18085470085470085,0.37661490643364537
Control4B,True,size_Group_Bary_kpc,Vdisp,-0.0606040933053379,0.4012257108127091
RG4,True,Offset_Bary,Lum_group,0.1692307692307692,0.4085443954184593
Control4C,True,Offset_Bary,Voffset,0.036872433908221355,0.47009493317590256
Control4B,False,size_Group_Bary_kpc,Voffset,0.03191384460797685,0.4746911280907019
Control4B,False,size_Group_Bary_kpc,Vdisp,-0.03139887689422166,0.4818524883990539
Control4B,True,Offset_Bary,Vdisp,-0.0505602511371434,0.48385253210631207
Control4C,True,size_Group_Bary_kpc,Voffset,0.0352931480296223,0.4893349769134244
Control4C,False,Offset_Bary,Lum_group,0.03709619454538194,0.5104762072523226
CG4,True,Offset_Bary,Lum_group,-0.11325611325611327,0.5107464541757045
CG4,True,Vdisp,Lum_group,0.11274131274131274,0.5126821098698217
Control4C,True,size_Group_Bary_kpc,Offset_Bary,0.03257983932764027,0.5233527479591638
Control4C,False,Voffset,Lum_group,0.03358336868133979,0.551348345867248
RG4,False,size_Group_Bary_kpc,Voffset,-0.10834260289210233,0.5687567157299825
CG4,False,size_Group_Bary_kpc,Vdisp,0.11247863247863246,0.5843341377940885
