Sample,Domination,Quantity,main_quantity,n_groups,Spear_corr,Spear_pval
CG4,Dominated,size_Group_Bary_kpc,S_frac,36,0.22958485128944875,0.1779907547007151
CG4,Dominated,Offset_Bary,S_frac,36,-0.13809416587047926,0.4218692489504501
CG4,Dominated,Vdisp,S_frac,36,-0.07155548556577415,0.678351767688834
CG4,Dominated,Voffset,S_frac,36,-0.0945271728138271,0.5834328787939838
CG4,Dominated,Lum_group,S_frac,36,-0.4022685692230882,0.015008617259962909
CG4,Non-dominated,size_Group_Bary_kpc,S_frac,24,0.2575260098178225,0.22440944770112706
CG4,Non-dominated,Offset_Bary,S_frac,24,0.043967855334750186,0.838355752749423
CG4,Non-dominated,Vdisp,S_frac,24,-0.021535276082326624,0.9204395327508181
CG4,Non-dominated,Voffset,S_frac,24,-0.4549327072391499,0.025506890871919548
CG4,Non-dominated,Lum_group,S_frac,24,-0.3966080011828486,0.05501074344694848
Control4B,Dominated,size_Group_Bary_kpc,S_frac,189,0.025725338634851755,0.7253056119040159
Control4B,Dominated,Offset_Bary,S_frac,189,0.006577924249762566,0.9284202752446661
Control4B,Dominated,Vdisp,S_frac,189,-0.01916102951738482,0.7935549697687058
Control4B,Dominated,Voffset,S_frac,189,-0.010723278196039045,0.8835685843575078
Control4B,Dominated,Lum_group,S_frac,189,-0.06679039298944787,0.36116638139680945
Control4B,Non-dominated,size_Group_Bary_kpc,S_frac,492,0.07224466059640937,0.1094921604843074
Control4B,Non-dominated,Offset_Bary,S_frac,492,0.040984731413018935,0.3643252880251121
Control4B,Non-dominated,Vdisp,S_frac,492,-0.12358165385516574,0.006056075700310833
Control4B,Non-dominated,Voffset,S_frac,492,-0.07140712322736281,0.11367750649905024
Control4B,Non-dominated,Lum_group,S_frac,492,-0.1673918026358109,0.000191605760204695
Control4C,Dominated,size_Group_Bary_kpc,S_frac,377,0.3044996905599276,1.573691365366286e-09
Control4C,Dominated,Offset_Bary,S_frac,377,0.12260736750115991,0.01723333092318007
Control4C,Dominated,Vdisp,S_frac,377,-0.2642095756030975,1.9318443211827835e-07
Control4C,Dominated,Voffset,S_frac,377,0.01944881051239998,0.7066127047751007
Control4C,Dominated,Lum_group,S_frac,377,-0.0977129722117878,0.058028756052654
Control4C,Non-dominated,size_Group_Bary_kpc,S_frac,309,0.2591825177039761,3.899320986029537e-06
Control4C,Non-dominated,Offset_Bary,S_frac,309,0.10213973444243381,0.07299410030053247
Control4C,Non-dominated,Vdisp,S_frac,309,-0.13994170809038656,0.013812304309252137
Control4C,Non-dominated,Voffset,S_frac,309,-0.051972979334950334,0.3625512782612491
Control4C,Non-dominated,Lum_group,S_frac,309,-0.23750016909693414,2.4597154644552753e-05
RG4,Dominated,size_Group_Bary_kpc,S_frac,25,0.05780864210298363,0.7837198704080982
RG4,Dominated,Offset_Bary,S_frac,25,-0.19151570547042873,0.35909904285018057
RG4,Dominated,Vdisp,S_frac,25,-0.13567334371108403,0.5178666245525865
RG4,Dominated,Voffset,S_frac,25,-0.1242689177179784,0.5539606287353597
RG4,Dominated,Lum_group,S_frac,25,0.012190938130561171,0.9538792745388359
RG4,Non-dominated,size_Group_Bary_kpc,S_frac,30,0.10035436518107592,0.5977474074760671
RG4,Non-dominated,Offset_Bary,S_frac,30,0.16702657561172174,0.3776743528822708
RG4,Non-dominated,Vdisp,S_frac,30,0.2431574733352966,0.1953988512471633
RG4,Non-dominated,Voffset,S_frac,30,-0.16679587592165032,0.37834295473732704
RG4,Non-dominated,Lum_group,S_frac,30,0.15779858800886418,0.4049522376743774
