predictor,sample,subset,model,status,beta1,standard_error,odds_ratio,p_value,n_used,covariance,controls,reason
Delta_m12,CG4,all,unadjusted,ok,0.25163956314828995,0.2277598363484598,1.2861323842235834,0.2692262882647686,210,cluster,,
Delta_m12,CG4,all,adjusted,ok,0.35348187354797866,0.2513766042869744,1.424017174338435,0.1596693586451272,210,cluster,"logMstar,z_numeric",
Delta_m12,CG4,bgg,unadjusted,ok,0.8945582488190851,0.6384092894862142,2.4462549147436397,0.16114530589204,53,HC1,,
Delta_m12,CG4,bgg,adjusted,ok,0.5683857724811621,0.713297266563051,1.7654149686732086,0.42554234968305904,53,HC1,"logMstar,z_numeric",
Delta_m12,CG4,satellites,unadjusted,ok,0.06981822363066559,0.2292542791324131,1.0723132423291284,0.7607127838669063,157,cluster,,
Delta_m12,CG4,satellites,adjusted,ok,0.24695819583171952,0.2597768581981765,1.2801255970738077,0.34177948660835766,157,cluster,"logMstar,z_numeric",
Delta_m12,RG4,all,unadjusted,ok,-0.018076346343402244,0.21126689865660364,0.9820860508171676,0.9318148783202913,189,cluster,,
Delta_m12,RG4,all,adjusted,ok,0.28722483378443964,0.23442409521322896,1.3327238211337702,0.22048632531919088,189,cluster,"logMstar,z_numeric",
Delta_m12,RG4,bgg,unadjusted,ok,0.37326057781745065,0.4350570210607061,1.4524627701039288,0.39091574933206474,47,HC1,,
Delta_m12,RG4,bgg,adjusted,ok,0.4570924702358036,0.452402535543129,1.579474931916206,0.3123196216928622,47,HC1,"logMstar,z_numeric",
Delta_m12,RG4,satellites,unadjusted,ok,-0.19686609729074825,0.2556977021773439,0.8213006003255469,0.44134892129040504,142,cluster,,
Delta_m12,RG4,satellites,adjusted,ok,0.34679669483378706,0.36509678011580743,1.4145291150582382,0.3421752271681242,142,cluster,"logMstar,z_numeric",
f_L_BGG,CG4,all,unadjusted,ok,1.660199252080859,1.2975891107221436,5.260358877484454,0.20073894419207783,210,cluster,,
f_L_BGG,CG4,all,adjusted,ok,2.5318525610433413,1.4265121709379576,12.576783828109155,0.07592179721180312,210,cluster,"logMstar,z_numeric",
f_L_BGG,CG4,bgg,unadjusted,ok,6.960080681824627,3.4109406582983928,1053.7185697496416,0.04129890968494792,53,HC1,,
f_L_BGG,CG4,bgg,adjusted,ok,5.202434076012947,3.8292098730402637,181.7140097210584,0.17426761725892737,53,HC1,"logMstar,z_numeric",
f_L_BGG,CG4,satellites,unadjusted,ok,0.07039730881493766,1.4711303911095863,1.0729343828699445,0.9618337728675392,157,cluster,,
f_L_BGG,CG4,satellites,adjusted,ok,1.6132491239104931,1.6159530091105831,5.019092416890843,0.31812093790195706,157,cluster,"logMstar,z_numeric",
f_L_BGG,RG4,all,unadjusted,ok,-0.9242758872144132,1.3444411287935207,0.3968186565290376,0.4917805340742317,189,cluster,,
f_L_BGG,RG4,all,adjusted,ok,0.9035587896734212,1.4749441924427142,2.4683719152195946,0.5401372811227599,189,cluster,"logMstar,z_numeric",
f_L_BGG,RG4,bgg,unadjusted,ok,1.2209525301108393,2.6913486065496617,3.3904156690374516,0.6500748126015711,47,HC1,,
f_L_BGG,RG4,bgg,adjusted,ok,1.8730298308457514,2.909267014362418,6.507984650828252,0.5196953860963933,47,HC1,"logMstar,z_numeric",
f_L_BGG,RG4,satellites,unadjusted,ok,-1.984873769801486,1.5235958580141271,0.13739795679370795,0.19265804895381333,142,cluster,,
f_L_BGG,RG4,satellites,adjusted,ok,1.147511232737727,2.0947244491529537,3.1503426753233397,0.5838222953218541,142,cluster,"logMstar,z_numeric",
