group_uid,sample,Group,Delta_m12,Delta_m12_source,f_L_BGG_raw,f_L_BGG_source,class_label,n_members,f_L_BGG
CG4:101,CG4,101,0.8820799999999984,rank_1_2_M_r,0.5813652766608354,Lum_BGG/Lum_group,Embedded,4,0.5813652766608354
CG4:106,CG4,106,1.1431289999999983,rank_1_2_M_r,0.641496858955093,Lum_BGG/Lum_group,Embedded,4,0.641496858955093
CG4:112,CG4,112,1.3168970000000009,rank_1_2_M_r,0.652720764366745,Lum_BGG/Lum_group,Predominant,4,0.652720764366745
CG4:117,CG4,117,1.855278000000002,rank_1_2_M_r,0.6811793499348981,Lum_BGG/Lum_group,Embedded,4,0.6811793499348981
CG4:121,CG4,121,0.810808999999999,rank_1_2_M_r,0.5185220195846221,Lum_BGG/Lum_group,Embedded,4,0.5185220195846221
CG4:128,CG4,128,0.284870999999999,rank_1_2_M_r,0.32758666731837677,Lum_BGG/Lum_group,Embedded,4,0.32758666731837677
CG4:131,CG4,131,1.829623999999999,rank_1_2_M_r,0.6979877136720424,Lum_BGG/Lum_group,Predominant,4,0.6979877136720424
CG4:142,CG4,142,1.4794819999999973,rank_1_2_M_r,0.649439354749183,Lum_BGG/Lum_group,Embedded,4,0.649439354749183
CG4:147,CG4,147,0.5606189999999991,rank_1_2_M_r,0.5191254772439091,Lum_BGG/Lum_group,Isolated,4,0.5191254772439091
CG4:154,CG4,154,1.4621929999999992,rank_1_2_M_r,0.662136556048469,Lum_BGG/Lum_group,Embedded,4,0.662136556048469
CG4:158,CG4,158,1.5338829999999994,rank_1_2_M_r,0.6531748635053343,Lum_BGG/Lum_group,Isolated,4,0.6531748635053343
CG4:165,CG4,165,1.803910000000002,rank_1_2_M_r,0.6839453032443585,Lum_BGG/Lum_group,Predominant,4,0.6839453032443585
CG4:167,CG4,167,1.0003899999999994,rank_1_2_M_r,0.5647542466185568,Lum_BGG/Lum_group,Predominant,4,0.5647542466185568
CG4:173,CG4,173,1.7465600000000023,rank_1_2_M_r,0.7295656266265991,Lum_BGG/Lum_group,Embedded,4,0.7295656266265991
CG4:175,CG4,175,0.6793559999999985,rank_1_2_M_r,0.559824651777152,Lum_BGG/Lum_group,Isolated,4,0.559824651777152
CG4:188,CG4,188,2.0068639999999967,rank_1_2_M_r,0.7317464557897889,Lum_BGG/Lum_group,Embedded,4,0.7317464557897889
CG4:197,CG4,197,1.0150500000000022,rank_1_2_M_r,0.6215761994351039,Lum_BGG/Lum_group,Embedded,4,0.6215761994351039
CG4:204,CG4,204,1.817740999999998,rank_1_2_M_r,0.6868657424667736,Lum_BGG/Lum_group,Predominant,4,0.6868657424667736
CG4:206,CG4,206,0.237248000000001,rank_1_2_M_r,0.42962204135083215,Lum_BGG/Lum_group,Embedded,4,0.42962204135083215
CG4:207,CG4,207,0.9817070000000001,rank_1_2_M_r,0.6335699442821034,Lum_BGG/Lum_group,Predominant,4,0.6335699442821034
CG4:214,CG4,214,0.07434200000000146,rank_1_2_M_r,0.4426390144390011,Lum_BGG/Lum_group,Isolated,4,0.4426390144390011
CG4:229,CG4,229,1.0463449999999987,rank_1_2_M_r,0.5685106320846974,Lum_BGG/Lum_group,Predominant,4,0.5685106320846974
