predictor,subset,model,status,interaction_beta,interaction_p,n_used,interpretation_flag,reason
Delta_m12,all,unadjusted,ok,0.2697159094916932,0.3837908336713177,399,no_detected_difference,
Delta_m12,all,adjusted,ok,0.1035158976697071,0.7409823838047086,399,no_detected_difference,
Delta_m12,bgg,unadjusted,ok,0.5212976710016333,0.4998212295153187,100,no_detected_difference,
Delta_m12,bgg,adjusted,ok,0.35053916625954273,0.6691241585573373,100,no_detected_difference,
Delta_m12,satellites,unadjusted,ok,0.26668432092141414,0.43612412423894986,299,no_detected_difference,
Delta_m12,satellites,adjusted,ok,-0.19982260615228337,0.6057159176823781,299,no_detected_difference,
f_L_BGG,all,unadjusted,ok,2.5844751392952867,0.1652566909195058,399,no_detected_difference,
f_L_BGG,all,adjusted,ok,1.777809516826765,0.3458913414226331,399,no_detected_difference,
f_L_BGG,bgg,unadjusted,ok,5.739128151713796,0.18653527116830393,100,no_detected_difference,
f_L_BGG,bgg,adjusted,ok,4.585668816907593,0.32138066856000125,100,no_detected_difference,
f_L_BGG,satellites,unadjusted,ok,2.055271078616421,0.33048238824322484,299,no_detected_difference,
f_L_BGG,satellites,adjusted,ok,-0.39177617667599063,0.8653608219328539,299,no_detected_difference,
class,all,categorical_interaction,skipped,,,210,inconclusive,class_labels_not_available_in_both_samples
class,bgg,categorical_interaction,skipped,,,53,inconclusive,class_labels_not_available_in_both_samples
class,satellites,categorical_interaction,skipped,,,157,inconclusive,class_labels_not_available_in_both_samples
