predictor,sample,subset,model,status,beta1,standard_error,odds_ratio,odds_ratio_raw,or_report_unit,p_value,p_value_bh,flag_bh,n_used,covariance,controls,reason
Delta_m12,CG4,all,unadjusted,ok,0.25163956314828995,0.23187280629783197,1.2861323842235834,1.2861323842235834,per 1 mag,0.277811708085575,,,210,cluster,,
Delta_m12,CG4,all,adjusted,ok,0.35348187354797866,0.2559524904214002,1.424017174338435,1.424017174338435,per 1 mag,0.1672651652008289,0.6121058096578879,not_significant,210,cluster,"logMstar,z_numeric",
Delta_m12,CG4,bgg,unadjusted,ok,0.8945582488190851,0.6384092894862142,2.4462549147436397,2.4462549147436397,per 1 mag,0.16114530589204,,,53,HC1,,
Delta_m12,CG4,bgg,adjusted,ok,0.5683857724811621,0.713297266563051,1.7654149686732086,1.7654149686732086,per 1 mag,0.42554234968305904,0.6874145648726339,not_significant,53,HC1,"logMstar,z_numeric",
Delta_m12,CG4,satellites,unadjusted,ok,0.06981822363066559,0.2316237125817365,1.0723132423291284,1.0723132423291284,per 1 mag,0.7630869896281881,,,157,cluster,,
Delta_m12,CG4,satellites,adjusted,ok,0.24695819583171952,0.2618909043930632,1.2801255970738077,1.2801255970738077,per 1 mag,0.3456905258914479,0.6121058096578879,not_significant,157,cluster,"logMstar,z_numeric",
Delta_m12,RG4,all,unadjusted,ok,-0.018076346343402244,0.21126689865660364,0.9820860508171676,0.9820860508171676,per 1 mag,0.9318148783202913,,,189,cluster,,
Delta_m12,RG4,all,adjusted,ok,0.28722483378443964,0.23442409521322896,1.3327238211337702,1.3327238211337702,per 1 mag,0.22048632531919088,0.6121058096578879,not_significant,189,cluster,"logMstar,z_numeric",
Delta_m12,RG4,bgg,unadjusted,ok,0.37326057781745065,0.4350570210607061,1.4524627701039288,1.4524627701039288,per 1 mag,0.39091574933206474,,,47,HC1,,
Delta_m12,RG4,bgg,adjusted,ok,0.4570924702358036,0.452402535543129,1.579474931916206,1.579474931916206,per 1 mag,0.3123196216928622,0.6121058096578879,not_significant,47,HC1,"logMstar,z_numeric",
Delta_m12,RG4,satellites,unadjusted,ok,-0.19686609729074825,0.2556977021773439,0.8213006003255469,0.8213006003255469,per 1 mag,0.44134892129040504,,,142,cluster,,
Delta_m12,RG4,satellites,adjusted,ok,0.34679669483378706,0.36509678011580743,1.4145291150582382,1.4145291150582382,per 1 mag,0.3421752271681242,0.6121058096578879,not_significant,142,cluster,"logMstar,z_numeric",
f_L_BGG,CG4,all,unadjusted,ok,1.6601992520808602,1.3188732458609442,1.180596625122342,5.260358877484459,per 0.1 increase in f_L_BGG,0.2081021392705118,,,210,cluster,,
f_L_BGG,CG4,all,adjusted,ok,2.531852561043342,1.4467404082012931,1.2881218871746625,12.576783828109166,per 0.1 increase in f_L_BGG,0.08011153378088039,0.6121058096578879,not_significant,210,cluster,"logMstar,z_numeric",
f_L_BGG,CG4,bgg,unadjusted,ok,6.960080681824643,3.410940658298435,2.0057299677337603,1053.7185697496584,per 0.1 increase in f_L_BGG,0.04129890968494995,,,53,HC1,,
f_L_BGG,CG4,bgg,adjusted,ok,5.202434076012954,3.8292098730403286,1.6824371178462203,181.71400972105968,per 0.1 increase in f_L_BGG,0.17426761725893436,0.6121058096578879,not_significant,53,HC1,"logMstar,z_numeric",
f_L_BGG,CG4,satellites,unadjusted,ok,0.07039730881493611,1.482426422747879,1.0070645680350208,1.072934382869943,per 0.1 increase in f_L_BGG,0.9621243786459386,,,157,cluster,,
f_L_BGG,CG4,satellites,adjusted,ok,1.6132491239104916,1.6264127231064684,1.175066700527142,5.019092416890835,per 0.1 increase in f_L_BGG,0.3212432063745837,0.6121058096578879,not_significant,157,cluster,"logMstar,z_numeric",
f_L_BGG,RG4,all,unadjusted,ok,-0.9242758872144211,1.344441128793527,0.9117152270395493,0.3968186565290345,per 0.1 increase in f_L_BGG,0.49178053407423006,,,189,cluster,,
f_L_BGG,RG4,all,adjusted,ok,0.9035587896734159,1.4749441924427111,1.094563746616106,2.4683719152195813,per 0.1 increase in f_L_BGG,0.5401372811227616,0.749341427109058,not_significant,189,cluster,"logMstar,z_numeric",
f_L_BGG,RG4,bgg,unadjusted,ok,1.2209525301108433,2.6913486065496763,1.1298617193856673,3.3904156690374654,per 0.1 increase in f_L_BGG,0.6500748126015718,,,47,HC1,,
f_L_BGG,RG4,bgg,adjusted,ok,1.873029830845742,2.909267014362452,1.2059926250667239,6.507984650828192,per 0.1 increase in f_L_BGG,0.5196953860964003,0.749341427109058,not_significant,47,HC1,"logMstar,z_numeric",
f_L_BGG,RG4,satellites,unadjusted,ok,-1.9848737698014867,1.523595858014184,0.8199701211741949,0.13739795679370786,per 0.1 increase in f_L_BGG,0.19265804895382987,,,142,cluster,,
f_L_BGG,RG4,satellites,adjusted,ok,1.1475112327377275,2.094724449152939,1.121594264124882,3.150342675323341,per 0.1 increase in f_L_BGG,0.5838222953218514,0.749341427109058,not_significant,142,cluster,"logMstar,z_numeric",
