objid,lim_group,physical_group,kept_label,control_definitions,physically_RG4
1237658491204665406,2065,Lim:2065,Control4B,Control4B+Control4C,False
1237654879667552297,4007,Lim:4007,Control4B,Control4B+Control4C,False
1237667324328738825,2538,Lim:2538,Control4B,Control4B+Control4C,False
1237665428645740684,61,Lim:61,Control4B,Control4B+Control4C,False
1237655370904764519,1664,Lim:1664,Control4B,Control4B+Control4C,False
1237659324943237142,5161,Lim:5161,Control4B,Control4B+Control4C,False
1237662225140088842,2009,Lim:2009,Control4B,Control4B+Control4C,False
1237655743484330087,7021,Lim:7021,Control4B,Control4B+Control4C,False
1237667254552690706,1093,Lim:1093,Control4B,Control4B+Control4C,False
1237667730195939406,5341,Lim:5341,Control4B,Control4B+Control4C,False
1237665567686525012,5383,Lim:5383,Control4B,Control4B+Control4C,False
1237653665796390983,5344,Lim:5344,Control4B,Control4B+Control4C,False
1237661388148244492,5055,Lim:5055,Control4B,Control4B+Control4C,False
1237655124465483920,4779,Lim:4779,Control4B,Control4B+Control4C,False
1237654605863452834,4797,Lim:4797,Control4B,Control4B+Control4C,False
1237667550347460633,802,Lim:802,Control4B,Control4B+Control4C,False
1237664853641461771,11021,Lim:11021,RG4,Control4B+Control4C+RG4,True
1237663915730272527,1758,Lim:1758,Control4B,Control4B+Control4C,False
1237655473968840814,5328,Lim:5328,Control4B,Control4B+Control4C,False
1237654383585394819,1616,Lim:1616,Control4B,Control4B+Control4C,False
1237657591386079240,4016,Lim:4016,Control4B,Control4B+Control4C,False
1237665226233479173,5309,Lim:5309,Control4B,Control4B+Control4C,False
1237651272961490958,11252,Lim:11252,RG4,Control4B+Control4C+RG4,True
1237665128006615097,3046,Lim:3046,Control4B,Control4B+Control4C,False
1237662306189770849,10955,Lim:10955,RG4,Control4B+Control4C+RG4,True
1237659327099896118,7219,Lim:7219,Control4B,Control4B+Control4C,False
1237659326026547328,1619,Lim:1619,Control4B,Control4B+Control4C,False
1237664292076519438,5170,Lim:5170,Control4B,Control4B+Control4C,False
1237654953207332988,7436,Lim:7436,Control4B,Control4B+Control4C,False
1237661416603910214,2548,Lim:2548,Control4B,Control4B+Control4C,False
1237654610141249556,11071,Lim:11071,RG4,Control4B+Control4C+RG4,True
1237658491211808865,4026,Lim:4026,Control4B,Control4B+Control4C,False
1237671936578093073,6978,Lim:6978,Control4B,Control4B+Control4C,False
1237665565541924998,10693,Lim:10693,RG4,Control4B+Control4C+RG4,True
1237667209986113541,3623,Lim:3623,Control4B,Control4B+Control4C,False
1237651538179850261,2252,Lim:2252,Control4B,Control4B+Control4C,False
1237667914343186500,5307,Lim:5307,Control4B,Control4B+Control4C,False
1237661970116378721,7009,Lim:7009,Control4B,Control4B+Control4C,False
1237661949178740758,5151,Lim:5151,Control4B,Control4B+Control4C,False
