cg4_group,zheng_shen_class,objid,cg4_rank_M,lim_group,lim_rank_M,quartet_satellite,host_halo_satellite,host_status_differs_from_quartet_rank
25,Embedded,1237655108898979844,1,5316,1,False,False,False
25,Embedded,1237655108898914500,2,5316,3,True,True,False
25,Embedded,1237655108898914492,3,5316,4,True,True,False
25,Embedded,1237655108898980064,4,5316,5,True,True,False
27,Predom,1237651533872496853,1,757,2,False,True,True
27,Predom,1237651271887618101,2,757,4,True,True,False
27,Predom,1237651271887618204,3,757,16,True,True,False
27,Predom,1237651533872496832,4,757,17,True,True,False
28,Predom,1237651192431902873,1,757,1,False,False,False
28,Predom,1237651192431902934,2,757,5,True,True,False
28,Predom,1237651192431902942,3,757,9,True,True,False
28,Predom,1237651192431902951,4,757,12,True,True,False
33,Embedded,1237653664714391702,1,6739,1,False,False,False
33,Embedded,1237653664714391735,2,6739,2,True,True,False
33,Embedded,1237651753452765233,3,6739,3,True,True,False
33,Embedded,1237651753452765443,4,6739,4,True,True,False
42,Embedded,1237664093977182232,1,3863,1,False,False,False
42,Embedded,1237664093977116737,2,3863,2,True,True,False
42,Embedded,1237664093977182233,3,3863,3,True,True,False
42,Embedded,1237664093977182234,4,3863,4,True,True,False
52,Predom,1237664879949906003,1,225,1,False,False,False
52,Predom,1237664879949906001,2,225,6,True,True,False
52,Predom,1237664837006852244,3,225,9,True,True,False
52,Predom,1237664879949906004,4,225,15,True,True,False
61,Embedded,1237661382235652124,1,4038,1,False,False,False
61,Embedded,1237661382235652235,2,4038,4,True,True,False
61,Embedded,1237661382235652234,3,4038,5,True,True,False
61,Embedded,1237661382235652236,4,4038,6,True,True,False
63,Embedded,1237661381699174422,1,389,1,False,False,False
63,Embedded,1237661381699108952,2,389,2,True,True,False
63,Embedded,1237661381699108923,3,389,3,True,True,False
63,Embedded,1237661381699108924,4,389,7,True,True,False
73,Embedded,1237664336632741928,1,1288,1,False,False,False
73,Embedded,1237664336632741895,2,1288,2,True,True,False
73,Embedded,1237665099004051581,3,1288,3,True,True,False
73,Embedded,1237664869753487485,4,1288,4,True,True,False
80,Embedded,1237671260670525453,1,2045,1,False,False,False
80,Embedded,1237671123231768624,2,2045,2,True,True,False
80,Embedded,1237671260670525479,3,2045,3,True,True,False
80,Embedded,1237671260670525478,4,2045,4,True,True,False
82,Embedded,1237664670045765663,1,3033,1,False,False,False
82,Embedded,1237661136886366310,2,3033,2,True,True,False
82,Embedded,1237661381701861554,3,3033,3,True,True,False
82,Embedded,1237661381701861576,4,3033,6,True,True,False
84,Embedded,1237671125379842213,1,1493,1,False,False,False
84,Embedded,1237671125379907676,2,1493,2,True,True,False
84,Embedded,1237671125379842214,3,1493,4,True,True,False
84,Embedded,1237671125379842189,4,1493,5,True,True,False
99,Embedded,1237667536399761464,1,1675,1,False,False,False
99,Embedded,1237667536399761571,2,1675,3,True,True,False
99,Embedded,1237667783897383104,3,1675,6,True,True,False
99,Embedded,1237667783897383027,4,1675,7,True,True,False
101,Embedded,1237654398613913710,1,2044,1,False,False,False
101,Embedded,1237654398613913657,2,2044,2,True,True,False
101,Embedded,1237654398613913659,3,2044,5,True,True,False
101,Embedded,1237654398613913661,4,2044,6,True,True,False
106,Embedded,1237648721221910580,1,3099,1,False,False,False
106,Embedded,1237654669739884742,2,3099,2,True,True,False
106,Embedded,1237654669739884626,3,3099,3,True,True,False
106,Embedded,1237654669739950159,4,3099,4,True,True,False
112,Predom,1237648721759961111,1,240,1,False,False,False
112,Predom,1237648721759961363,2,240,5,True,True,False
112,Predom,1237648721759961197,3,240,11,True,True,False
112,Predom,1237648721759961421,4,240,16,True,True,False
117,Embedded,1237654602106732592,1,3080,1,False,False,False
117,Embedded,1237654602106732699,2,3080,2,True,True,False
117,Embedded,1237654602106732681,3,3080,3,True,True,False
117,Embedded,1237654602106732720,4,3080,4,True,True,False
121,Embedded,1237654604791545887,1,4018,1,False,False,False
121,Embedded,1237654604791545959,2,4018,2,True,True,False
121,Embedded,1237654604791545888,3,4018,3,True,True,False
121,Embedded,1237654604791546018,4,4018,5,True,True,False
128,Embedded,1237664819818987529,1,5335,1,False,False,False
128,Embedded,1237664819818987565,2,5335,2,True,True,False
128,Embedded,1237664819818987566,3,5335,3,True,True,False
128,Embedded,1237664819818987690,4,5335,5,True,True,False
131,Predom,1237667431715766291,1,126,1,False,False,False
131,Predom,1237667431715766292,2,126,5,True,True,False
131,Predom,1237667431715766293,3,126,7,True,True,False
131,Predom,1237667431715766294,4,126,18,True,True,False
142,Embedded,1237662223525871655,1,3999,1,False,False,False
142,Embedded,1237662223525871715,2,3999,3,True,True,False
142,Embedded,1237662223525806268,3,3999,4,True,True,False
142,Embedded,1237662223525806252,4,3999,5,True,True,False
147,Isolated,1237664337177477186,1,9952,1,False,False,False
147,Isolated,1237664337177477185,2,9952,2,True,True,False
147,Isolated,1237664337177542740,3,9952,3,True,True,False
147,Isolated,1237664337177542775,4,9952,4,True,True,False
154,Embedded,1237657628452388926,1,879,1,False,False,False
154,Embedded,1237657628452389042,2,879,3,True,True,False
154,Embedded,1237657628452389069,3,879,5,True,True,False
154,Embedded,1237657628452389021,4,879,7,True,True,False
158,Isolated,1237661811196624933,1,10996,1,False,False,False
158,Isolated,1237661811196625002,2,10996,2,True,True,False
158,Isolated,1237661811196559464,3,10996,3,True,True,False
158,Isolated,1237661948639445082,4,10996,4,True,True,False
165,Predom,1237665126930055238,1,36,1,False,False,False
165,Predom,1237665126930055405,2,36,13,True,True,False
165,Predom,1237665126930055448,3,36,14,True,True,False
165,Predom,1237665126930055406,4,36,21,True,True,False
167,Predom,1237665370120847454,1,36,2,False,True,True
167,Predom,1237665370120847399,2,36,9,True,True,False
167,Predom,1237665370120782013,3,36,17,True,True,False
167,Predom,1237665370120847519,4,36,26,True,True,False
173,Embedded,1237658312939798567,1,1824,1,False,False,False
173,Embedded,1237655108913594378,2,1824,3,True,True,False
173,Embedded,1237658312939798811,3,1824,6,True,True,False
173,Embedded,1237655108913594468,4,1824,7,True,True,False
175,Isolated,1237648722841043066,1,11175,1,False,False,False
175,Isolated,1237648722841042953,2,11175,2,True,True,False
175,Isolated,1237648722840977489,3,11175,3,True,True,False
175,Isolated,1237648722841043030,4,11175,4,True,True,False
188,Embedded,1237667733971337221,1,800,1,False,False,False
188,Embedded,1237667781760319536,2,800,5,True,True,False
188,Embedded,1237667781760319651,3,800,7,True,True,False
188,Embedded,1237667781760319656,4,800,8,True,True,False
197,Embedded,1237657591934025821,1,5360,1,False,False,False
197,Embedded,1237657591934025805,2,5360,2,True,True,False
197,Embedded,1237657591934025877,3,5360,3,True,True,False
197,Embedded,1237657591934025822,4,5360,4,True,True,False
204,Predom,1237657858222391375,1,1117,1,False,False,False
204,Predom,1237657858222456920,2,1117,6,True,True,False
204,Predom,1237657858222456990,3,1117,7,True,True,False
204,Predom,1237657858222391531,4,1117,10,True,True,False
206,Embedded,1237657627919319142,1,1741,1,False,False,False
206,Embedded,1237657627919319141,2,1741,2,True,True,False
206,Embedded,1237657627919384583,3,1741,5,True,True,False
206,Embedded,1237657627919319144,4,1741,7,True,True,False
207,Predom,1237661152450183230,1,406,1,False,False,False
207,Predom,1237661152450248784,2,406,3,True,True,False
207,Predom,1237661152450248713,3,406,7,True,True,False
207,Predom,1237661152450248875,4,406,13,True,True,False
214,Isolated,1237661435920646147,1,10818,1,False,False,False
214,Isolated,1237661435920646302,2,10818,2,True,True,False
214,Isolated,1237661435920646283,3,10818,3,True,True,False
214,Isolated,1237661435920580738,4,10818,4,True,True,False
229,Predom,1237665025446510622,1,442,2,False,True,True
229,Predom,1237665025446510739,2,442,6,True,True,False
229,Predom,1237665025446510775,3,442,7,True,True,False
