cg4_group,zheng_shen_class,lim_group,mapping_status,cg4_bgg_objid,lim_host_bgg_objid,bgg_objid_equal,lim_host_member_count,lim_group_is_quartet_itself,isolated_equality_trivial
25,Embedded,5316,CG4 BGG equals Lim-host BGG,1237655108898979844,1237655108898979844,True,6,False,False
27,Predom,757,CG4 BGG differs from Lim-host BGG,1237651533872496853,1237651192431902873,False,17,False,False
28,Predom,757,CG4 BGG equals Lim-host BGG,1237651192431902873,1237651192431902873,True,17,False,False
33,Embedded,6739,CG4 BGG equals Lim-host BGG,1237653664714391702,1237653664714391702,True,5,False,False
42,Embedded,3863,CG4 BGG equals Lim-host BGG,1237664093977182232,1237664093977182232,True,7,False,False
52,Predom,225,CG4 BGG equals Lim-host BGG,1237664879949906003,1237664879949906003,True,33,False,False
61,Embedded,4038,CG4 BGG equals Lim-host BGG,1237661382235652124,1237661382235652124,True,7,False,False
63,Embedded,389,CG4 BGG equals Lim-host BGG,1237661381699174422,1237661381699174422,True,24,False,False
73,Embedded,1288,CG4 BGG equals Lim-host BGG,1237664336632741928,1237664336632741928,True,13,False,False
80,Embedded,2045,CG4 BGG equals Lim-host BGG,1237671260670525453,1237671260670525453,True,10,False,False
82,Embedded,3033,CG4 BGG equals Lim-host BGG,1237664670045765663,1237664670045765663,True,8,False,False
84,Embedded,1493,CG4 BGG equals Lim-host BGG,1237671125379842213,1237671125379842213,True,12,False,False
99,Embedded,1675,CG4 BGG equals Lim-host BGG,1237667536399761464,1237667536399761464,True,11,False,False
101,Embedded,2044,CG4 BGG equals Lim-host BGG,1237654398613913710,1237654398613913710,True,10,False,False
106,Embedded,3099,CG4 BGG equals Lim-host BGG,1237648721221910580,1237648721221910580,True,8,False,False
112,Predom,240,CG4 BGG equals Lim-host BGG,1237648721759961111,1237648721759961111,True,32,False,False
117,Embedded,3080,CG4 BGG equals Lim-host BGG,1237654602106732592,1237654602106732592,True,8,False,False
121,Embedded,4018,CG4 BGG equals Lim-host BGG,1237654604791545887,1237654604791545887,True,7,False,False
128,Embedded,5335,CG4 BGG equals Lim-host BGG,1237664819818987529,1237664819818987529,True,6,False,False
131,Predom,126,CG4 BGG equals Lim-host BGG,1237667431715766291,1237667431715766291,True,45,False,False
142,Embedded,3999,CG4 BGG equals Lim-host BGG,1237662223525871655,1237662223525871655,True,7,False,False
147,Isolated,9952,CG4 BGG equals Lim-host BGG,1237664337177477186,1237664337177477186,True,4,True,True
