sample,descriptor,label,n,n_groups,odds_ratio,ci95_low,ci95_high,p,per_unit,descriptor_sd_in_frame,status,reason,p_bh_battery,p_bh_within_sample
CG4,log_R_pair_med,"\log R_{ij,\rm med}",157,59,0.652631327731739,0.5042040130218549,0.8447525980290653,0.0011891557732125002,per 0.174 SD of log_R_pair_med,0.17426450890424425,ok,,0.004756623092850001,0.005945778866062501
CG4,sigma_v,\sigma_v,157,59,0.8997993716014215,0.6465724946104513,1.25220128583123,0.5312053195230153,per 103 SD of sigma_v,102.79691102668997,ok,,0.7364041715717996,0.5312053195230153
CG4,f_L_BGG,"f_{L,\rm BGG}",157,59,1.1867522883491743,0.8836850899676982,1.5937589192021826,0.25509475018469296,per 0.0969 SD of f_L_BGG,0.09690708917620222,ok,,0.5910904972969357,0.5312053195230153
CG4,log_t_cross,\log t_{\rm cross},157,59,0.87603002109734,0.6554054995689922,1.1709218161405153,0.3712847540899531,per 0.366 SD of log_t_cross,0.36556670661234375,ok,,0.7364041715717996,0.5312053195230153
CG4,f_L_BGG_above_cg4_median,"f_{L,\rm BGG} > {\rm med}(\CG)",157,59,1.2864285869383474,0.6376754112479817,2.5952051468527295,0.48179522831797383,binary,,ok,,0.7364041715717996,0.5312053195230153
Control4B,log_R_pair_med,"\log R_{ij,\rm med}",1772,677,0.8000984437614759,0.7224984518468647,0.8860330677154425,1.830729622379277e-05,per 0.217 SD of log_R_pair_med,0.21741108789352556,ok,,0.00012204864149195181,9.153648111896385e-05
Control4B,sigma_v,\sigma_v,1772,677,1.0300152211344629,0.9261089654347306,1.1455794030356439,0.5856920134960104,per 95.5 SD of sigma_v,95.45916216431718,ok,,0.7364041715717996,0.732115016870013
Control4B,f_L_BGG,"f_{L,\rm BGG}",1772,677,1.0219445744619668,0.8965882879821719,1.1648275214732866,0.7450997070005239,per 0.118 SD of f_L_BGG,0.1179779641044711,ok,,0.7843154810531829,0.7450997070005239
Control4B,log_t_cross,\log t_{\rm cross},1772,677,0.8705112970321053,0.7846402950722129,0.9657800179517628,0.008868716144594117,per 0.335 SD of log_t_cross,0.3351566973335146,ok,,0.029562387148647052,0.02217179036148529
Control4B,f_L_BGG_above_cg4_median,"f_{L,\rm BGG} > {\rm med}(\CG)",1772,677,1.2414163741988393,0.9216339819302349,1.6721547212282055,0.15474284509911182,binary,,ok,,0.44212241456889095,0.257904741831853
Control4C,log_R_pair_med,"\log R_{ij,\rm med}",1744,679,0.7022603229386002,0.6336995624735023,0.7782387591508689,1.5464610065645515e-11,per 0.259 SD of log_R_pair_med,0.2585636715512271,ok,,3.092922013129103e-10,7.732305032822758e-11
Control4C,sigma_v,\sigma_v,1744,679,1.212508720111388,1.0907961841656075,1.3478021079352713,0.0003567134016965637,per 119 SD of sigma_v,119.17626362929157,ok,,0.0017835670084828184,0.0005945223361609395
Control4C,f_L_BGG,"f_{L,\rm BGG}",1744,679,1.0646657866077136,0.9533735142468974,1.1889497875010957,0.2659907237836211,per 0.107 SD of f_L_BGG,0.10659885458607724,ok,,0.5910904972969357,0.33248840472952634
Control4C,log_t_cross,\log t_{\rm cross},1744,679,0.7266616198645257,0.6542184626276522,0.8071265791908236,2.5387882277193574e-09,per 0.425 SD of log_t_cross,0.4247288695418087,ok,,2.5387882277193574e-08,6.3469705692983936e-09
Control4C,f_L_BGG_above_cg4_median,"f_{L,\rm BGG} > {\rm med}(\CG)",1744,679,1.0891388739566126,0.8732195037955468,1.358448227057944,0.4487985476338725,binary,,ok,,0.7364041715717996,0.4487985476338725
RG4,log_R_pair_med,"\log R_{ij,\rm med}",142,55,0.9226749258404755,0.6368734046305558,1.3367319353970744,0.6704739293499514,per 0.148 SD of log_R_pair_med,0.14841372055482915,ok,,0.7574673281330786,0.8521507441497134
RG4,sigma_v,\sigma_v,142,55,0.8990529674093245,0.611053488956468,1.3227912986601007,0.5891233372574397,per 64.7 SD of sigma_v,64.7205975022927,ok,,0.7364041715717996,0.8521507441497134
RG4,f_L_BGG,"f_{L,\rm BGG}",142,55,1.191297212376982,0.7850773486115148,1.807706018683562,0.4106804335133196,per 0.107 SD of f_L_BGG,0.10688927935181138,ok,,0.7364041715717996,0.8521507441497134
RG4,log_t_cross,\log t_{\rm cross},142,55,0.9949181556822599,0.6905795915851055,1.433378785831381,0.9781820165673476,per 0.277 SD of log_t_cross,0.27687311660822683,ok,,0.9781820165673476,0.9781820165673476
RG4,f_L_BGG_above_cg4_median,"f_{L,\rm BGG} > {\rm med}(\CG)",142,55,1.1927930729570109,0.5136379571230153,2.7699575063793076,0.6817205953197707,binary,,ok,,0.7574673281330786,0.8521507441497134
