sample,sSFR_measurement,n_galaxies,n_with_galSpecInfo,sn_median_q25,sn_median_median,sn_median_q75,sn_median_below_10_fraction,n_with_reliable,reliable_0_count,reliable_0_fraction
CG4,galSpecExtra_sfr_-9999,4,4,31.341437499999998,33.005845,35.74077,0.0,4,0,0.0
CG4,missing_no_galSpecExtra,14,0,,,,,0,0,
CG4,valid_derived_sSFR,230,230,20.2207975,29.700029999999998,38.6647625,0.04782608695652174,230,0,0.0
CG4,exact_spectrum_unresolved,0,0,,,,,0,0,
CG4,exact_spectrum_objid_mismatch,0,0,,,,,0,0,
CG4,exact_source_value_mismatch,0,0,,,,,0,0,
Control4B,galSpecExtra_sfr_-9999,29,29,28.805,36.32365,40.94197,0.034482758620689655,29,0,0.0
Control4B,missing_no_galSpecExtra,149,0,,,,,0,0,
Control4B,valid_derived_sSFR,2612,2612,23.930315,34.57621,41.4497225,0.026416539050535988,2612,0,0.0
Control4B,exact_spectrum_unresolved,2,0,,,,,0,0,
Control4B,exact_spectrum_objid_mismatch,0,0,,,,,0,0,
Control4B,exact_source_value_mismatch,0,0,,,,,0,0,
Control4C,galSpecExtra_sfr_-9999,27,27,21.165509999999998,29.84969,40.14171,0.07407407407407407,27,0,0.0
Control4C,missing_no_galSpecExtra,164,0,,,,,0,0,
Control4C,valid_derived_sSFR,2621,2621,19.70583,30.29206,39.83816,0.047310186951545215,2621,0,0.0
Control4C,exact_spectrum_unresolved,0,0,,,,,0,0,
Control4C,exact_spectrum_objid_mismatch,0,0,,,,,0,0,
Control4C,exact_source_value_mismatch,0,0,,,,,0,0,
RG4,galSpecExtra_sfr_-9999,0,0,,,,,0,0,
RG4,missing_no_galSpecExtra,5,0,,,,,0,0,
RG4,valid_derived_sSFR,219,219,14.241520000000001,23.48539,33.85608,0.1050228310502283,219,0,0.0
RG4,exact_spectrum_unresolved,0,0,,,,,0,0,
RG4,exact_spectrum_objid_mismatch,0,0,,,,,0,0,
RG4,exact_source_value_mismatch,0,0,,,,,0,0,
