Group,n_shipped,n_parent,bgg_matches,n_eligible_sat,max_dmag_shipped,n_dmag_gt3,expected_objids,shipped_objids,quartet_set_changed,not_3_nearest_eligible,n_ineligible_closer,dist2bgg_recompute_max_err
1,4,538,True,107,2.4324450000000013,0,1237667444048723989;1237667324334637085;1237667324334571728,1237667444048723989;1237667324334571728;1237667324334637085,False,False,13,0.206636607514187
3,4,177,True,65,2.3736700000000006,0,1237665531723317440;1237665531723317728;1237665549437632547,1237665531723317440;1237665549437632547;1237665531723317728,False,False,7,0.19628189401888996
5,4,156,True,47,2.169171000000002,0,1237668293912690764;1237667915953537163;1237668293912690796,1237668293912690764;1237667915953537163;1237668293912690796,False,False,4,0.15433754766771868
6,4,149,True,51,2.711924,0,1237665535465619850;1237665535465619617;1237665535465619750,1237665535465619617;1237665535465619850;1237665535465619750,False,False,8,0.16355862692096768
13,4,123,True,42,2.738557,0,1237654879665586216;1237651821637533715;1237654879665586208,1237654879665586216;1237651821637533715;1237654879665586208,False,False,5,0.17933861058777412
27,4,96,True,43,2.8513650000000013,0,1237667254009200956;1237667254009200667;1237667254009200743,1237667254009200667;1237667254009200743;1237667254009200956,False,False,2,0.17566124061753374
32,4,89,True,41,2.860658000000001,0,1237662237485629623;1237662237485564390;1237662237485629618,1237662237485629618;1237662237485564390;1237662237485629623,False,False,0,0.05106370705903429
33,4,89,True,30,2.810895000000002,0,1237667915955568664;1237667915955568663;1237667915955568665,1237667915955568663;1237667915955568665;1237667915955568664,False,False,1,0.11125146486034687
37,4,84,True,36,2.244447000000001,0,1237658612519141394;1237658612519141393;1237658612519141391,1237658612519141394;1237658612519141391;1237658612519141393,False,False,1,0.08241324829617414
39,4,83,True,32,2.716010999999998,0,1237663789031948360;1237663789031948495;1237663918416199874,1237663789031948360;1237663918416199874;1237663789031948495,False,False,8,0.3902220453079277
40,4,80,True,34,2.743876,0,1237655742947197070;1237655742947262473;1237662266464338197,1237655742947197070;1237655742947262473;1237662266464338197,False,False,8,0.2882053588887006
46,4,73,True,26,2.0181220000000017,0,1237667292659384425;1237667292659384413;1237667429563039946,1237667292659384425;1237667429563039946;1237667292659384413,False,False,13,0.382385002394118
50,4,71,True,32,2.5273970000000006,0,1237655743485575194;1237655743485575567;1237655743485575492,1237655743485575194;1237655743485575567;1237655743485575492,False,False,3,0.18735237912151304
51,4,71,True,44,2.9947599999999994,0,1237665534931894614;1237665534931894707;1237665534931894706,1237665534931894707;1237665534931894706;1237665534931894614,False,False,3,0.16134140689717613
61,4,64,True,36,2.307843000000002,0,1237665428645740683;1237665428645740687;1237665428645806454,1237665428645740687;1237665428645806454;1237665428645740683,False,False,2,0.12934285381001676
70,4,61,True,34,2.9189159999999994,0,1237661418212294689;1237661418212294942;1237661418212294806,1237661418212294942;1237661418212294689;1237661418212294806,False,False,2,0.13289892164978667
71,4,61,True,19,2.7436679999999996,0,1237667537465704591;1237667537465704588;1237667537465704789,1237667537465704588;1237667537465704789;1237667537465704591,False,False,3,0.11410682846825138
78,4,58,True,24,2.7989089999999983,0,1237667293189505124;1237667293189570761;1237667293189505241,1237667293189570761;1237667293189505241;1237667293189505124,False,False,2,0.336022862706832
79,4,58,True,32,1.6942940000000029,0,1237662197748006964;1237662264323539208;1237662197748006963,1237662197748006964;1237662197748006963;1237662264323539208,False,False,1,0.12770206923255678
85,4,57,True,30,2.692209000000002,0,1237662303519834621;1237662303519834305;1237662501081776441,1237662303519834305;1237662501081776441;1237662303519834621,False,False,4,0.1849844317482967
94,4,53,True,16,2.6273860000000013,0,1237662262169108543;1237662262169174037;1237662236405530754,1237662262169108543;1237662262169174037;1237662236405530754,False,False,8,0.37691509965705894
95,4,53,True,13,2.6975830000000016,0,1237664289935261842;1237664289935196255;1237662529523744971,1237664289935261842;1237662529523744971;1237664289935196255,False,False,10,0.563622377346892
96,4,53,True,22,2.611329999999999,0,1237661465457590733;1237661465457524828;1237662337335033958,1237662337335033958;1237661465457524828;1237661465457590733,False,False,9,0.39232994323238835
99,4,51,True,20,2.7706030000000013,0,1237665016314593292;1237665016314593453;1237665016314593480,1237665016314593292;1237665016314593480;1237665016314593453,False,False,8,0.18943445508925638
100,4,51,True,27,1.3564520000000009,0,1237661949737435262;1237661949737435263;1237661949737435261,1237661949737435262;1237661949737435261;1237661949737435263,False,False,5,0.14425290644056465
102,4,50,True,14,2.973071000000001,0,1237653587406684481;1237653587406684570;1237654654172070143,1237653587406684481;1237653587406684570;1237654654172070143,False,False,15,0.5841138122685994
106,4,50,True,16,2.5711000000000013,0,1237664836462248240;1237664836462248406;1237664836462182453,1237664836462248240;1237664836462182453;1237664836462248406,False,False,8,0.5363515799741236
112,4,49,True,19,2.9331080000000007,0,1237661139033718842;1237661139033784476;1237661139033718922,1237661139033784476;1237661139033718922;1237661139033718842,False,False,7,0.2543207943747685
120,4,46,True,10,2.9799460000000018,0,1237667782281134188;1237667734492151849;1237667782281068583,1237667734492151849;1237667782281068583;1237667782281134188,False,False,11,0.508924479099031
125,4,45,True,20,2.699435000000001,0,1237661386003382586;1237661386003382392;1237661386003317042,1237661386003382586;1237661386003317042;1237661386003382392,False,False,3,0.18540231509851868
129,4,44,True,13,2.7134409999999995,0,1237658300056666431;1237658300056666563;1237658300056601430,1237658300056666563;1237658300056601430;1237658300056666431,False,False,3,0.19364391972444572
131,4,44,True,27,2.9829690000000006,0,1237665128538833047;1237665025436811410;1237665025436811331,1237665025436811331;1237665128538833047;1237665025436811410,False,False,2,0.22735136575613257
143,4,41,True,9,2.3259810000000023,0,1237664132091871251;1237661070326890555;1237661070326890677,1237661070326890555;1237664132091871251;1237661070326890677,False,False,15,0.7300083636103736
146,4,41,True,17,2.9338629999999988,0,1237661434849132772;1237661434849198303;1237661361833574526,1237661361833574526;1237661434849132772;1237661434849198303,False,False,2,0.36874606120106
152,4,40,True,20,2.7771399999999993,0,1237665129099559164;1237662695961788698;1237665129099624698,1237662695961788698;1237665129099624698;1237665129099559164,False,False,0,0.30478139154542827
153,4,40,True,5,2.5480250000000026,0,1237667322184794216;1237667321647923349;1237667442972688529,1237667321647923349;1237667442972688529;1237667322184794216,False,False,31,2.259908831053245
154,4,40,True,9,2.5115510000000008,0,1237664093439852639;1237664668428599470;1237664093439983708,1237664093439983708;1237664093439852639;1237664668428599470,False,False,10,0.6994670372166922
157,4,39,True,12,2.7769779999999997,0,1237665567691374851;1237665567691309503;1237665567691374897,1237665567691374897;1237665567691309503;1237665567691374851,False,False,3,0.18286576425814172
174,4,38,True,24,2.3466020000000007,0,1237661381704548428;1237661381704548427;1237661381704548426,1237661381704548428;1237661381704548426;1237661381704548427,False,False,0,0.07072112774819295
180,4,37,True,8,2.2865949999999984,0,1237662336256835778;1237661463842455568;1237661463842390293,1237661463842455568;1237662336256835778;1237661463842390293,False,False,18,0.7167331562669119
189,4,36,True,17,2.124694999999999,0,1237667782827638813;1237667782827638816;1237667735575462006,1237667782827638813;1237667735575462006;1237667782827638816,False,False,3,0.15913862360184527
