Group,n_shipped,n_parent,bgg_matches,n_eligible_sat,max_dmag_shipped,n_dmag_gt3,expected_objids,shipped_objids,quartet_set_changed,not_3_nearest_eligible,n_ineligible_closer,dist2bgg_recompute_max_err
1,4,538,True,107,5.757933000000001,1,1237667444048723989;1237667324334637085;1237667324334571728,1237667444048723989;1237667324334637085;1237667444048724004,True,True,13,0.053871952791060274
3,4,177,True,65,3.472639000000001,2,1237665531723317440;1237665531723317728;1237665549437632547,1237665531723317440;1237665531723317784;1237665531723317445,True,True,7,0.12572824722792353
5,4,156,True,47,3.359414000000001,2,1237668293912690764;1237667915953537163;1237668293912690796,1237668293912690764;1237668293912690773;1237668293912690769,True,True,4,0.06585581808396057
6,4,149,True,51,4.395326000000001,2,1237665535465619850;1237665535465619617;1237665535465619750,1237665535465619850;1237665535465619526;1237665535465619528,True,True,8,0.10867188041554954
13,4,123,True,42,5.019442999999999,2,1237654879665586216;1237651821637533715;1237654879665586208,1237654879665586216;1237654879665586210;1237654879665586226,True,True,5,0.09188397993052155
27,4,96,True,43,3.295550000000002,1,1237667254009200956;1237667254009200667;1237667254009200743,1237667254009200667;1237667254009200956;1237667254009201000,True,True,2,0.1448172302139632
32,4,89,True,41,2.860658000000001,0,1237662237485629623;1237662237485564390;1237662237485629618,1237662237485629618;1237662237485564390;1237662237485629623,False,False,0,0.05106370705903429
33,4,89,True,30,4.882640000000002,1,1237667915955568664;1237667915955568663;1237667915955568665,1237667915955568663;1237667915955568664;1237667915955568673,True,True,1,0.09333677278274388
37,4,84,True,36,3.4216219999999993,1,1237658612519141394;1237658612519141393;1237658612519141391,1237658612519141394;1237658612519141393;1237658612519141503,True,True,1,0.07620166240022885
39,4,83,True,32,4.429175000000001,2,1237663789031948360;1237663789031948495;1237663918416199874,1237663789031948360;1237663789031948622;1237663789032013995,True,True,8,0.20152531163056953
40,4,80,True,34,3.7502549999999992,1,1237655742947197070;1237655742947262473;1237662266464338197,1237655742947197070;1237655742947262473;1237655742947262475,True,True,8,0.0631516506732277
46,4,73,True,26,4.018228000000001,3,1237667292659384425;1237667292659384413;1237667429563039946,1237667429563105341;1237667429563105608;1237667429563105342,True,True,13,0.09123922318492084
50,4,71,True,32,4.601241000000002,2,1237655743485575194;1237655743485575567;1237655743485575492,1237655743485575194;1237655743485575198;1237655743485575615,True,True,3,0.11323921254230918
51,4,71,True,44,4.152579999999997,2,1237665534931894614;1237665534931894707;1237665534931894706,1237665534931894614;1237665534931894341;1237665534931894343,True,True,3,0.11487264593708524
61,4,64,True,36,4.261796,1,1237665428645740683;1237665428645740687;1237665428645806454,1237665428645740687;1237665428645740683;1237665428645740694,True,True,2,0.07238417089827931
70,4,61,True,34,4.3688189999999985,2,1237661418212294689;1237661418212294942;1237661418212294806,1237661418212294689;1237661418212294709;1237661418212294707,True,True,2,0.08903498731964188
71,4,61,True,19,4.443936000000001,2,1237667537465704591;1237667537465704588;1237667537465704789,1237667537465704591;1237667537465704602;1237667537465704607,True,True,3,0.09462929996794989
78,4,58,True,24,4.713711,2,1237667293189505124;1237667293189570761;1237667293189505241,1237667293189505124;1237667430630096919;1237667293189505427,True,True,2,0.17122588806798955
79,4,58,True,32,3.6124550000000006,1,1237662197748006964;1237662264323539208;1237662197748006963,1237662197748006964;1237662264323539208;1237662197748006974,True,True,1,0.11341203285707646
85,4,57,True,30,4.002293000000002,2,1237662303519834621;1237662303519834305;1237662501081776441,1237662303519834621;1237662303519899926;1237665356693635278,True,True,4,0.15776756477982312
94,4,53,True,16,4.751429999999999,3,1237662262169108543;1237662262169174037;1237662236405530754,1237662262169174086;1237662262169174278;1237662262169174093,True,True,8,0.12858405610092571
95,4,53,True,13,5.395411000000003,3,1237664289935261842;1237664289935196255;1237662529523744971,1237664289935196412;1237664289935261751;1237664289935261940,True,True,10,0.13918384833049346
96,4,53,True,22,4.341971000000001,2,1237661465457590733;1237661465457524828;1237662337335033958,1237661465457590733;1237661465457525045;1237661465457525407,True,True,9,0.18043192680151465
99,4,51,True,20,3.859185,2,1237665016314593292;1237665016314593453;1237665016314593480,1237665016314593292;1237665016314593438;1237665016314593294,True,True,8,0.07554573173014711
100,4,51,True,27,3.8779530000000015,2,1237661949737435262;1237661949737435263;1237661949737435261,1237661949737435262;1237661949737435269;1237661949737435275,True,True,5,0.09221005194791143
102,4,50,True,14,3.906817,3,1237653587406684481;1237653587406684570;1237654654172070143,1237654654172004361;1237654654172004359;1237654654172004362,True,True,15,0.08943195640465018
106,4,50,True,16,5.103269000000001,3,1237664836462248240;1237664836462248406;1237664836462182453,1237664836462313734;1237664874580672554;1237664836462313526,True,True,8,0.19892883704562347
112,4,49,True,19,4.539255000000001,2,1237661139033718842;1237661139033784476;1237661139033718922,1237661139033718842;1237661139033718845;1237661139033719032,True,True,7,0.11539454945576377
