family,model,published_or,published_p,no_sigma_or,no_sigma_p
primary:Control4B,elliptical_all,2.1400497065588597,9.553097242993727e-07,2.216910991720153,2.3636527715744075e-07
primary:Control4B,elliptical_bgg,0.7831032794008098,0.4788519319082867,0.866159713633892,0.6705077855047127
primary:Control4B,elliptical_satellites,2.6329422557428486,1.5036813787072624e-08,2.6793284744068315,5.6939164504960985e-09
primary:Control4B,quenched_all,1.8030038182893915,0.0012665657286651743,1.9365579922742486,0.0003379103067920487
primary:Control4B,quenched_satellites,2.1605832625720294,2.256070205988096e-05,2.290435408772688,4.50582900193149e-06
primary:Control4C,elliptical_all,1.6706461703756417,0.0005864042942453806,1.68096106183727,0.00034288646668301004
primary:Control4C,elliptical_bgg,0.8748934735812663,0.7051789852751147,0.9330232941300995,0.8405591650147586
primary:Control4C,elliptical_satellites,1.9320387373593795,5.4226720085294193e-05,1.9364929015507473,3.5973653042179966e-05
primary:Control4C,quenched_all,1.245295350163563,0.17305463316051417,1.2430739444377596,0.17927272733040744
primary:Control4C,quenched_satellites,1.3751251874979524,0.05188457350944697,1.3660649918727175,0.05426222379901052
primary:RG4,elliptical_all,2.8054220033141632,5.986749710263143e-06,2.758496010817398,2.9282264042845275e-06
primary:RG4,elliptical_bgg,1.8700390270808254,0.25682317033239666,2.182109554097435,0.13640521904550995
primary:RG4,elliptical_satellites,3.0309818230595447,0.00012709680487124202,2.826657471410878,0.00011089060457213394
primary:RG4,quenched_all,1.4040766683135368,0.23809575079256584,1.741843797047037,0.0457308338377658
primary:RG4,quenched_satellites,1.85379947515056,0.052133559149246965,2.1452441113174454,0.012864761526996846
pooled,elliptical_all,1.7656431700560324,0.00014230946184455787,1.8282873641396382,3.501003995773154e-05
pooled,elliptical_bgg,0.7755905223685292,0.464392766729127,0.8589441027086997,0.6544159907177169
pooled,elliptical_satellites,2.0820317256210927,8.465326157483702e-06,2.13151577966459,2.2837715269338258e-06
pooled,quenched_all,1.3482561250211782,0.06823762009535347,1.4024613234316976,0.03848748627953629
pooled,quenched_satellites,1.5264697101986,0.0107568326502254,1.567990454949596,0.005538127841274015
