sample,objid,specobjid,sfr,lgm,sSFR_status,specObjID,bestObjID,instrument,survey,programname,plate,mjd,fiberID,class,zWarning,snMedian_r,snMedian,run2d,sciencePrimary,extra_specObjID,sfr_tot_p50,lgm_tot_p50,specsfr_tot_p50,info_specObjID,info_sn_median,reliable,missing_type
CG4,1237655108898979844,858040220065490944,0.3827338,11.13696,Starforming,8.58040220065491e+17,1.2376551088989798e+18,SDSS,sdss,legacy,762.0,52232.0,380.0,GALAXY,0.0,38.46365,30.5532,26,1.0,8.58040220065491e+17,0.3827338,11.13696,-10.80401,8.58040220065491e+17,30.5532,1.0,valid
CG4,1237655108898914500,858035272263165952,-1.361676,10.40786,Quenched,8.58035272263166e+17,1.2376551088989146e+18,SDSS,sdss,legacy,762.0,52232.0,362.0,GALAXY,0.0,36.35191,28.86621,26,1.0,8.58035272263166e+17,-1.361676,10.40786,-11.83571,8.58035272263166e+17,28.82646,1.0,valid
CG4,1237655108898914492,858039945187584000,-0.2030639,9.313793,Starforming,8.58039945187584e+17,1.2376551088989146e+18,SDSS,sdss,legacy,762.0,52232.0,379.0,GALAXY,0.0,13.22273,10.58729,26,1.0,8.58039945187584e+17,-0.2030639,9.313793,-9.575071,8.58039945187584e+17,10.74559,1.0,valid
CG4,1237655108898980064,858036371774793728,-0.5503863,9.284696,Starforming,8.580363717747937e+17,1.23765510889898e+18,SDSS,sdss,legacy,762.0,52232.0,366.0,GALAXY,0.0,8.862889,6.868608,26,1.0,8.580363717747937e+17,-0.5503863,9.284696,-9.895501,8.580363717747937e+17,6.948121,1.0,valid
CG4,1237651533872496853,500074962334279680,-1.367166,10.94254,Quenched,5.000749623342797e+17,1.237651533872497e+18,SDSS,sdss,legacy,444.0,51883.0,638.0,GALAXY,0.0,42.23038,34.96326,26,1.0,5.000749623342797e+17,-1.367166,10.94254,-12.35773,5.000749623342797e+17,34.98672,1.0,valid
CG4,1237651271887618101,500071114043582464,-1.301104,10.82927,Quenched,5.0007111404358246e+17,1.237651271887618e+18,SDSS,sdss,legacy,444.0,51883.0,624.0,GALAXY,0.0,41.74768,34.57557,26,1.0,5.0007111404358246e+17,-1.301104,10.82927,-12.18172,5.0007111404358246e+17,34.62148,1.0,valid
CG4,1237651271887618204,500075512090093568,-0.5972809,9.714207,Starforming,5.000755120900936e+17,1.2376512718876183e+18,SDSS,sdss,legacy,444.0,51883.0,640.0,GALAXY,0.0,11.25405,9.473363,26,1.0,5.000755120900936e+17,-0.5972809,9.714207,-10.37365,5.000755120900936e+17,9.566511,1.0,valid
CG4,1237651533872496832,500074137700558848,-0.264861,9.640424,Starforming,5.0007413770055885e+17,1.237651533872497e+18,SDSS,sdss,legacy,444.0,51883.0,635.0,GALAXY,0.0,11.26421,8.89603,26,1.0,5.0007413770055885e+17,-0.264861,9.640424,-9.951622,5.0007413770055885e+17,9.010636,1.0,valid
CG4,1237651192431902873,503368824192526336,-1.268743,11.56605,Quenched,5.0336882419252634e+17,1.237651192431903e+18,SDSS,sdss,legacy,447.0,51877.0,333.0,GALAXY,0.0,47.29907,41.10244,26,1.0,5.0336882419252634e+17,-1.268743,11.56605,-12.92637,5.0336882419252634e+17,41.07203,1.0,valid
CG4,1237651192431902934,503370198582061056,-0.5900373,10.74845,Quenched,5.0337019858206106e+17,1.237651192431903e+18,SDSS,sdss,legacy,447.0,51877.0,338.0,GALAXY,0.0,22.39844,17.77964,26,1.0,5.0337019858206106e+17,-0.5900373,10.74845,-11.39216,5.0337019858206106e+17,17.87079,1.0,valid
CG4,1237651192431902942,503368549314619392,-1.788836,10.45439,Quenched,5.033685493146194e+17,1.237651192431903e+18,SDSS,sdss,legacy,447.0,51877.0,332.0,GALAXY,0.0,33.38991,26.79553,26,1.0,5.033685493146194e+17,-1.788836,10.45439,-12.3005,5.033685493146194e+17,26.80732,1.0,valid
CG4,1237651192431902951,503369373948340224,-0.1130434,9.72223,Starforming,5.033693739483402e+17,1.237651192431903e+18,SDSS,sdss,legacy,447.0,51877.0,335.0,GALAXY,0.0,15.48129,13.40439,26,1.0,5.033693739483402e+17,-0.1130434,9.72223,-9.888668,5.033693739483402e+17,13.51462,1.0,valid
CG4,1237653664714391702,527027291352492032,-0.1564121,10.91266,Starforming,5.27027291352492e+17,1.2376536647143918e+18,SDSS,sdss,legacy,468.0,51912.0,386.0,GALAXY,0.0,50.9504,40.96877,26,1.0,5.27027291352492e+17,-0.1564121,10.91266,-11.1321,5.27027291352492e+17,41.04177,1.0,valid
CG4,1237653664714391735,527027841108305920,-1.525149,10.67758,Quenched,5.270278411083059e+17,1.2376536647143918e+18,SDSS,sdss,legacy,468.0,51912.0,388.0,GALAXY,0.0,53.50353,43.86971,26,1.0,5.270278411083059e+17,-1.525149,10.67758,-12.22753,5.270278411083059e+17,43.86971,1.0,valid
CG4,1237651753452765233,525971210249463808,-1.555934,10.73482,Quenched,5.259712102494638e+17,1.2376517534527652e+18,SDSS,sdss,legacy,467.0,51901.0,640.0,GALAXY,0.0,35.06915,32.49915,26,1.0,5.259712102494638e+17,-1.555934,10.73482,-12.36812,5.259712102494638e+17,32.45052,1.0,valid
CG4,1237651753452765443,525968461470394368,-1.086425,10.11648,Quenched,5.259684614703944e+17,1.2376517534527654e+18,SDSS,sdss,legacy,467.0,51901.0,630.0,GALAXY,0.0,35.03112,27.67803,26,1.0,5.259684614703944e+17,-1.086425,10.11648,-11.26759,5.259684614703944e+17,27.67803,1.0,valid
CG4,1237664093977182232,2182114747552393216,-1.580751,11.30246,Quenched,2.1821147475523932e+18,1.2376640939771822e+18,SDSS,sdss,legacy,1938.0,53379.0,439.0,GALAXY,0.0,52.60095,48.65157,26,1.0,2.1821147475523932e+18,-1.580751,11.30246,-12.94767,2.1821147475523932e+18,48.66617,1.0,valid
CG4,1237664093977116737,2182100728779139072,-1.656235,10.44188,Quenched,2.182100728779139e+18,1.2376640939771167e+18,SDSS,sdss,legacy,1938.0,53379.0,388.0,GALAXY,0.0,49.15628,43.23331,26,1.0,2.182100728779139e+18,-1.656235,10.44188,-12.15111,2.182100728779139e+18,43.26168,1.0,valid
CG4,1237664093977182233,2182111998773323776,-1.62013,10.44385,Quenched,2.1821119987733238e+18,1.2376640939771822e+18,SDSS,sdss,legacy,1938.0,53379.0,429.0,GALAXY,0.0,49.68571,44.18221,26,1.0,2.1821119987733238e+18,-1.62013,10.44385,-12.10153,2.1821119987733238e+18,44.19553,1.0,valid
CG4,1237664093977182234,2182113373162858496,-2.083404,10.1118,Quenched,2.1821133731628585e+18,1.2376640939771822e+18,SDSS,sdss,legacy,1938.0,53379.0,434.0,GALAXY,0.0,43.68966,36.22165,26,1.0,2.1821133731628585e+18,-2.083404,10.1118,-12.231,2.1821133731628585e+18,36.25173,1.0,valid
CG4,1237664879949906003,2183255216156076032,-1.217835,11.26873,Quenched,2.183255216156076e+18,1.237664879949906e+18,SDSS,sdss,legacy,1939.0,53389.0,492.0,GALAXY,0.0,48.75653,42.7722,26,1.0,2.183255216156076e+18,-1.217835,11.26873,-12.53462,2.183255216156076e+18,42.71652,1.0,valid
CG4,1237664879949906001,2183242022016542720,-1.468659,10.52723,Quenched,2.1832420220165427e+18,1.237664879949906e+18,SDSS,sdss,legacy,1939.0,53389.0,444.0,GALAXY,0.0,50.47113,45.36855,26,1.0,2.1832420220165427e+18,-1.468659,10.52723,-12.05196,2.1832420220165427e+18,45.26715,1.0,valid
CG4,1237664837006852244,2183259889080494080,0.1936986,10.09972,Starforming,2.183259889080494e+18,1.2376648370068524e+18,SDSS,sdss,legacy,1939.0,53389.0,509.0,GALAXY,0.0,38.03728,30.60275,26,1.0,2.183259889080494e+18,0.1936986,10.09972,-9.965368,2.183259889080494e+18,30.52448,1.0,valid
CG4,1237664879949906004,2183245045673519104,-1.358868,10.06748,Quenched,2.183245045673519e+18,1.237664879949906e+18,SDSS,sdss,legacy,1939.0,53389.0,455.0,GALAXY,0.0,32.01252,24.38174,26,1.0,2.183245045673519e+18,-1.358868,10.06748,-11.45136,2.183245045673519e+18,24.35591,1.0,valid
