sample,status,n,q05,q16,median,q84,q95,frac_below_5,frac_below_10
CG4,valid,230,13.418615,20.6354624,37.241915,49.1492272,52.959164999999985,0.0,0.02608695652173913
CG4,missing,18,36.354414500000004,40.173196000000004,46.582415,53.3167708,58.46876749999999,0.0,0.0
CG4,missing:no-galSpecExtra,14,38.3321575,40.877345999999996,47.51466,53.7438812,60.3586175,0.0,0.0
CG4,missing:sentinel,4,37.121604500000004,38.1029684,40.88747,45.5907872,47.789860999999995,0.0,0.0
Control4B,valid,2612,15.50769,24.366547999999998,42.33771,50.72269359999999,58.073843,0.0,0.009571209800918835
Control4B,missing,178,22.908941499999997,29.5498,45.675470000000004,56.9969664,62.5766295,0.0,0.0
Control4B,missing:no-galSpecExtra,149,23.10624,29.61451,45.98648,57.5295948,65.88511999999997,0.0,0.0
Control4B,missing:sentinel,29,22.02891,29.9840984,43.59825,49.8358044,54.61703599999999,0.0,0.0
Control4C,valid,2621,12.91615,19.44474,38.04109,49.665575999999994,56.61082,0.0,0.01716901945822205
Control4C,missing,191,21.491715,29.197808000000002,44.63502,56.177353999999994,66.703215,0.0,0.0
Control4C,missing:no-galSpecExtra,164,23.366632499999998,30.245593600000003,45.3059,56.938582,68.65411499999999,0.0,0.0
Control4C,missing:sentinel,27,14.313628999999999,21.438912000000002,37.47755,49.1329864,51.765308,0.0,0.0
RG4,valid,219,9.9827326,15.1247364,29.698,45.136045599999996,49.674347999999995,0.0,0.0547945205479452
RG4,missing,5,36.722828,38.7552936,67.71172,74.6294612,75.268086,0.0,0.0
RG4,missing:no-galSpecExtra,5,36.722828,38.7552936,67.71172,74.6294612,75.268086,0.0,0.0
