cg4_objid,cg4_group,cg4_rank,cg4_logMstar,cg4_MS_res,control_objid,control_labels,control_logMstar,control_MS_res
1237653664714391702,CG4:33,1,10.91266,-0.5818639558279237,1237657591386079240,Control4B+Control4C,11.20991,-0.1346981266664553
1237648722841043066,CG4:175,1,11.07703,-0.7840566469772323,1237665565541924998,Control4B+Control4C+RG4,10.88094,-0.13714058845960686
1237662198284157184,CG4:330,1,11.17926,0.1594415643366247,1237661949178740758,Control4B+Control4C,10.96177,0.09071089577863845
1237662302453039177,CG4:405,1,11.1572,-0.6688074489643849,1237665129087565860,Control4B+Control4C,10.56369,0.4379817447674892
1237665534931894451,CG4:368,1,10.82897,0.09711716354238753,1237667912217133187,Control4B+Control4C,10.79171,0.33527415839196983
1237661435920646302,CG4:214,2,10.60806,0.03889930133467523,1237667916489490658,Control4B,10.3536,0.12118113523966478
1237648722841042953,CG4:175,2,10.41704,0.3525459588413824,1237667322176471252,Control4B,10.34683,-0.40939187532264754
1237662198284157251,CG4:330,2,10.21111,-0.7743068060238745,1237665128012251184,Control4C,9.668192,0.1527492578514842
1237657591934025805,CG4:197,2,10.20167,-0.015624898882393268,1237658313478045858,Control4B+Control4C+RG4,10.24989,0.06254332722207323
1237661418747527234,CG4:259,2,9.993683,-0.01437602980272068,1237654601026175068,Control4B+Control4C,10.72631,-0.20601176570137092
1237662225165451914,CG4:386,2,9.771627,-0.6308036600311091,1237654601570451465,Control4B+Control4C,7.392337,1.2202451596261668
1237657627919319141,CG4:206,2,10.77621,0.014568463135221421,1237660961866776723,Control4B+Control4C,9.664832,0.29054556121103126
1237651273515794622,CG4:276,3,10.54362,-0.41776215743261425,1237667253462892711,Control4B+Control4C,9.498533,0.436594548200711
1237657858222456990,CG4:204,3,9.941386,0.19363213233597776,1237665127475708179,Control4B,9.685365,0.27490065613358006
1237651271887618204,CG4:27,3,9.714207,-0.2765368575112319,1237655691404902574,Control4B+Control4C,9.158954,0.9770159099980518
1237667733988573424,CG4:316,3,9.97814,0.004908651892110427,1237651755098833051,Control4C,11.2189,0.04594290815518676
1237662302452974098,CG4:405,3,9.70164,0.3521345714288078,1237657591393157322,Control4B+Control4C,10.59638,0.04024145855160732
1237661873482956896,CG4:239,3,9.939357,0.2772561519333969,1237662268077900134,Control4B+Control4C,9.849862,0.4797636484551724
1237654669739884626,CG4:106,3,9.24446,0.5597742580345955,1237667444586971212,Control4B+Control4C,9.710072,0.05997119373996007
1237658312939798811,CG4:173,3,10.3846,0.11142623898723514,1237662238014308394,Control4B+Control4C,10.65349,-0.038876768496457714
1237662198284157166,CG4:330,3,10.05386,0.03178568849949848,1237665567686525218,Control4B+Control4C,9.858394,0.13689075497421754
1237659131675148445,CG4:322,3,9.665421,-0.15631562138944766,1237661966358741190,Control4C,9.602703,0.04088579091513189
1237648722840977489,CG4:175,3,9.788215,0.09936710404918081,1237667733966487717,Control4C,10.1202,0.3064366641416374
1237657591934025877,CG4:197,3,9.790443,-0.011754191802330283,1237661064952479995,Control4B,10.02669,-0.2549152584944938
1237659163880915192,CG4:337,4,9.389134,0.15136895110337178,1237659324943237240,Control4B+Control4C,9.484775,-0.1208690919747486
1237651192431902951,CG4:28,4,9.72223,0.2030018758882477,1237667429555437726,Control4B+Control4C,9.896671,-0.12160949966427381
1237648704057573731,CG4:309,4,9.65169,0.2342508192356636,1237662195056640151,Control4B+Control4C,10.00999,-0.5667484905210713
1237661950272471275,CG4:323,4,10.00999,-0.3505757905210718,1237668367461449908,Control4C,10.28847,-0.796396452792651
1237655108898980064,CG4:25,4,9.284696,0.016069727250057397,1237658203961884821,Control4B+Control4C,8.783231,0.729909241017964
1237661435920580738,CG4:214,4,9.824382,-0.19279420147208626,1237662665889546613,Control4C,9.47954,-0.3732269090318372
1237651735776461018,CG4:315,4,10.10781,-0.4028135940562265,1237668496314663169,Control4B+Control4C+RG4,9.254015,0.3898195322508826
1237661948639445082,CG4:158,4,9.965645,-0.19736132418414876,1237667211056447529,Control4B+Control4C,9.797628,-0.1371544093230881
1237655375185117425,CG4:394,4,9.950853,-0.5966939773076039,1237662528988053660,Control4C,9.234194,0.3499512388148176
1237668272452862569,CG4:374,4,10.27495,0.45797059951607544,1237662238021714380,Control4C,10.18435,-0.4507080734879665
1237648722841043030,CG4:175,4,9.325481,-0.015658727124638006,1237662193992007785,Control4C,9.692798,-0.007837287732325393
1237651533872496832,CG4:27,4,9.640424,0.0989074918167887,1237667429568086121,Control4C,9.283918,0.13507260404505317
1237667783897383027,CG4:99,4,9.598251,0.21229159967256805,1237657400806277191,Control4C,9.283221,-0.08818560664153097
1237665534931894732,CG4:368,4,9.559221,-0.08997735354202518,1237661974404268187,Control4C,9.304218,0.1885075726458929
1237657627919319144,CG4:206,4,9.692472,0.13724002005935532,1237665025446903972,Control4C,9.36902,-0.08157204533156559
