sample,scope,n,q16,median,mean,q84,frac_sat
CG4,all_SF,84,9.55793004,9.9859115,10.053806261904763,10.5719592,0.8690476190476191
CG4,SF_satellites,73,9.53947048,9.939357,9.912283232876712,10.3195852,1.0
Control4B,all_SF,1019,9.70545812,10.27381,10.241102278704613,10.7742024,0.8949950932286556
Control4B,SF_satellites,912,9.6747204,10.201315000000001,10.160713021929823,10.651038400000001,1.0
Control4C,all_SF,1061,9.531514,10.04861,10.07390747313855,10.655144,0.8991517436380773
Control4C,SF_satellites,954,9.504262559999999,9.9603975,9.978304908805033,10.4525148,1.0
RG4,all_SF,118,9.42217164,9.9392365,9.974043737288135,10.6077432,0.8728813559322034
RG4,SF_satellites,103,9.417416880000001,9.82069,9.862576009708738,10.2962936,1.0
CG4,matched_both_SF,39,9.64132528,9.950853,10.048130717948718,10.6029048,0.8717948717948718
matched controls,matched_both_SF,39,9.285542,9.849862,9.90091264102564,10.6489212,0.8717948717948718
