Group,Class,lMass_200,Lum_group,Vdisp,host,n_members_in_PC,n_distinct_hosts,N_host,L_host,f_L_cg_over_host,N_host_PCgroups,class_rederived_ZS21,class_stored
7,Split,12.921674319742966,77796997340.43456,377.7931645478563,,0,0,,,,,Split,Split
25,Embedded,12.830967046991534,61957048198.95252,138.73358378062295,5316.0,4,1,6.0,85291138904.6156,0.7264183477282616,6.0,Predominant,Embedded
26,Split,12.669223393588656,55914847021.60611,224.709146345899,,0,0,,,,,Split,Split
27,Predom,14.067655145847407,81847840785.15062,277.7185452426554,757.0,4,1,17.0,387466160761.12524,0.2112386811389452,17.0,Embedded,Predominant
28,Predom,14.067661014296515,172681946012.08386,111.41340432393416,757.0,4,1,17.0,387466160761.12524,0.4456697474506506,17.0,Embedded,Predominant
33,Embedded,13.24120245146574,130127839490.13235,65.212862961357,6739.0,4,1,5.0,132561769020.86244,0.9816392799469428,5.0,Predominant,Embedded
42,Embedded,13.197135895008143,101318222692.48135,71.43269758845616,3863.0,4,1,7.0,104459805055.37578,0.9699254429851843,7.0,Predominant,Embedded
46,Split,13.19911195063713,68121475069.09307,525.0233986061004,316.0,3,1,28.0,229611196304.1123,0.29668185247756157,28.0,Split,Split
52,Predom,13.825752463831812,115417905126.2303,376.10695801897606,225.0,4,1,33.0,374197958745.5196,0.30844076625421263,33.0,Embedded,Predominant
61,Embedded,12.7924239749764,62618337683.70095,114.38282225559918,4038.0,4,1,7.0,98242555503.08498,0.6373850655964933,7.0,Predominant,Embedded
63,Embedded,14.18681973523859,214222566639.75345,88.3216832592506,389.0,4,1,24.0,352907223364.3715,0.6070223346450798,24.0,Predominant,Embedded
73,Embedded,13.21490640236317,92669932515.58052,238.55179856135848,1288.0,4,1,13.0,105584665277.36778,0.8776836321083119,13.0,Predominant,Embedded
80,Embedded,13.268024226482408,150944901427.27765,139.35060368873476,2045.0,4,1,10.0,169505561120.40176,0.8905011754750615,10.0,Predominant,Embedded
82,Embedded,13.25003767816629,94468468966.53082,175.61675796013438,3033.0,4,1,8.0,115638778106.57742,0.8169272497800419,8.0,Predominant,Embedded
84,Embedded,12.948507061913409,80129948726.12451,157.75382835927795,1493.0,4,1,12.0,105913953230.7076,0.7565570567607939,12.0,Predominant,Embedded
99,Embedded,13.464956548743777,114862424207.06757,173.4668977380962,1675.0,4,1,11.0,175413545550.7417,0.6548093184391022,11.0,Predominant,Embedded
101,Embedded,13.26801583906136,95698010903.33968,225.54969362779747,2044.0,4,1,10.0,131509492264.37477,0.7276889999009126,10.0,Predominant,Embedded
