threshold,P_edge_on_bin,n_bin,gz1_class,n,fraction,wilson_lo,wilson_hi
P_S0>0.5,0-0.1,410,E,315,0.7682926829268293,0.7250757044612951,0.8065288395274207
P_S0>0.5,0-0.1,410,S,55,0.13414634146341464,0.10453177282870385,0.17055293991395648
P_S0>0.5,0-0.1,410,U,20,0.04878048780487805,0.03179682706662636,0.07414098531598802
P_S0>0.5,0-0.1,410,X,20,0.04878048780487805,0.03179682706662636,0.07414098531598802
P_S0>0.5,0.1-0.3,70,E,60,0.8571428571428571,0.7566158011633325,0.920510582829334
P_S0>0.5,0.1-0.3,70,S,6,0.08571428571428572,0.039876669645112064,0.1746567249233948
P_S0>0.5,0.1-0.3,70,U,1,0.014285714285714285,0.002526246457890312,0.07658187131208327
P_S0>0.5,0.1-0.3,70,X,3,0.04285714285714286,0.014681541004111405,0.11859668748527552
P_S0>0.5,0.3-0.5,54,E,43,0.7962962962962963,0.6709769331166456,0.8822594591257861
P_S0>0.5,0.3-0.5,54,S,5,0.09259259259259259,0.04020113475702944,0.19909882590962688
P_S0>0.5,0.3-0.5,54,U,4,0.07407407407407407,0.02918152776550481,0.1755411583859995
P_S0>0.5,0.3-0.5,54,X,2,0.037037037037037035,0.01021636794844559,0.12535176917275476
P_S0>0.5,0.5-0.7,52,E,34,0.6538461538461539,0.5180355424727014,0.7684899233353408
P_S0>0.5,0.5-0.7,52,S,12,0.23076923076923078,0.13724260925492748,0.3613378255809984
P_S0>0.5,0.5-0.7,52,U,5,0.09615384615384616,0.04177435105257249,0.20609630120131633
P_S0>0.5,0.5-0.7,52,X,1,0.019230769230769232,0.0034028080709451597,0.10120511127892247
P_S0>0.5,0.7-1,144,E,59,0.4097222222222222,0.3327606967189344,0.49137523776522496
P_S0>0.5,0.7-1,144,S,59,0.4097222222222222,0.3327606967189344,0.49137523776522496
P_S0>0.5,0.7-1,144,U,15,0.10416666666666667,0.06414804449479507,0.16475566824344234
P_S0>0.5,0.7-1,144,X,11,0.0763888888888889,0.04318732966175298,0.13160436291776428
P_S0>=0.8,0-0.1,230,E,172,0.7478260869565218,0.6879469017707861,0.7995628861638392
P_S0>=0.8,0-0.1,230,S,36,0.1565217391304348,0.11525311169700259,0.20907542783220107
P_S0>=0.8,0-0.1,230,U,13,0.05652173913043478,0.03332569732836319,0.09428836636757057
P_S0>=0.8,0-0.1,230,X,9,0.0391304347826087,0.020720932217296636,0.07268191829024236
P_S0>=0.8,0.1-0.3,30,E,23,0.7666666666666667,0.5907167384187784,0.8820761185551049
P_S0>=0.8,0.1-0.3,30,S,5,0.16666666666666666,0.0733654237184855,0.3356435050641603
P_S0>=0.8,0.1-0.3,30,U,0,0.0,0.0,0.11351339317396876
P_S0>=0.8,0.1-0.3,30,X,2,0.06666666666666667,0.018477023791270378,0.2132345836261692
P_S0>=0.8,0.3-0.5,28,E,21,0.75,0.5664432968100104,0.8732350508070668
P_S0>=0.8,0.3-0.5,28,S,2,0.07142857142857142,0.019812064115305755,0.22645362568399052
P_S0>=0.8,0.3-0.5,28,U,3,0.10714285714285714,0.03711836682929999,0.27195851548672156
P_S0>=0.8,0.3-0.5,28,X,2,0.07142857142857142,0.019812064115305755,0.22645362568399052
P_S0>=0.8,0.5-0.7,31,E,18,0.5806451612903226,0.4076626249536972,0.7358445693268778
P_S0>=0.8,0.5-0.7,31,S,9,0.2903225806451613,0.1609580015630062,0.46592329330749926
P_S0>=0.8,0.5-0.7,31,U,3,0.0967741935483871,0.03346464416319736,0.24899938443392836
P_S0>=0.8,0.5-0.7,31,X,1,0.03225806451612903,0.005717221525416816,0.16194105164724906
P_S0>=0.8,0.7-1,110,E,36,0.32727272727272727,0.24671132610522006,0.4194911242705093
P_S0>=0.8,0.7-1,110,S,53,0.4818181818181818,0.39064279126942547,0.5742206245595985
P_S0>=0.8,0.7-1,110,U,14,0.12727272727272726,0.07734981388846994,0.20235021060652508
P_S0>=0.8,0.7-1,110,X,7,0.06363636363636363,0.031164518014477616,0.125557461882102
