sample,bin_left,bin_right,n_galaxies_votes,n_groups_votes,n_usable_ES,n_groups_usable,median_p_el,median_p_cs,mean_p_el,mean_p_cs,frac_E,frac_S,frac_uncertain_of_votes,displayed
CG4,7.0,9.5,10,8,9,7,0.1464999988675115,0.7435000240802765,0.1303000011481344,0.75450000166893,0.0,1.0,0.1,True
CG4,9.5,10.0,38,30,36,29,0.273999996483326,0.615000009536743,0.350473685410658,0.5924210534676124,0.3888888888888889,0.6111111111111112,0.05263157894736842,True
CG4,10.0,10.5,72,49,71,48,0.64750000834465,0.22749999910593,0.558041665961759,0.37865277677257025,0.6197183098591549,0.38028169014084506,0.013888888888888888,True
CG4,10.5,11.0,54,40,52,39,0.7129999995231625,0.1349999979138375,0.6160000021121016,0.3131111088312335,0.6923076923076923,0.3076923076923077,0.037037037037037035,True
CG4,11.0,12.5,43,42,42,41,0.880999982357025,0.0450000017881393,0.6454186030598574,0.2885581404403892,0.7142857142857143,0.2857142857142857,0.023255813953488372,True
Control4B,7.0,9.5,80,70,67,61,0.129499994218349,0.764499992132187,0.17142500099726019,0.6815374999307096,0.05970149253731343,0.9402985074626866,0.1625,True
Control4B,9.5,10.0,291,234,270,220,0.172999992966652,0.737999975681305,0.2666701027592228,0.6526323021981622,0.2222222222222222,0.7777777777777778,0.07216494845360824,True
Control4B,10.0,10.5,607,413,583,402,0.25900000333786,0.690999984741211,0.35853541948214246,0.6001383863033534,0.3584905660377358,0.6415094339622641,0.039538714991762765,True
Control4B,10.5,11.0,894,512,853,497,0.4155000001192095,0.5,0.45456040271930814,0.4937382547332753,0.4783118405627198,0.5216881594372802,0.04586129753914989,True
Control4B,11.0,12.5,616,471,599,459,0.870000004768372,0.0549999997019768,0.6461185062872609,0.29283766213852863,0.7095158597662772,0.2904841402337229,0.027597402597402596,True
Control4C,7.0,9.5,138,120,120,110,0.107500001788139,0.761000007390976,0.1577536234146227,0.7032971021489821,0.058333333333333334,0.9416666666666667,0.13043478260869565,True
Control4C,9.5,10.0,503,379,460,355,0.231000006198883,0.669000029563904,0.31619681897119545,0.6024353865896969,0.30217391304347824,0.6978260869565217,0.08548707753479125,True
Control4C,10.0,10.5,725,499,692,483,0.398999989032745,0.541999995708466,0.4258799993824856,0.524513103674198,0.4552023121387283,0.5447976878612717,0.04551724137931035,True
Control4C,10.5,11.0,609,435,573,413,0.448000013828278,0.42399999499321,0.4679556654289071,0.47211822634945166,0.5008726003490401,0.49912739965095987,0.059113300492610835,True
Control4C,11.0,12.5,516,466,502,454,0.877499997615814,0.0509999990463257,0.6661821705065378,0.2712306201624027,0.7370517928286853,0.26294820717131473,0.027131782945736434,True
RG4,7.0,9.5,25,21,19,17,0.164000004529953,0.689000010490417,0.1854400010406971,0.6583199983835221,0.05263157894736842,0.9473684210526315,0.24,True
RG4,9.5,10.0,48,38,45,36,0.1730000004172325,0.737500011920929,0.2577708327056219,0.6721666684995095,0.2,0.8,0.0625,True
RG4,10.0,10.5,54,37,51,36,0.2464999929070475,0.710500001907349,0.32572222011232815,0.6248888913542032,0.29411764705882354,0.7058823529411765,0.05555555555555555,True
RG4,10.5,11.0,55,38,54,38,0.48199999332428,0.51800000667572,0.4505454567345706,0.5166545475071127,0.46296296296296297,0.5370370370370371,0.01818181818181818,True
RG4,11.0,12.5,22,21,20,19,0.446499988436699,0.4294999986886975,0.49709090725942084,0.4344545469026673,0.5,0.5,0.09090909090909091,True
