control,bin_left,bin_right,median_stat,alt_stat,delta_median,delta_alt
Control4B,7.0,9.5,median_p_el,frac_E,0.017000004649162487,-0.05970149253731343
Control4B,7.0,9.5,median_p_el,mean_p_el,0.017000004649162487,-0.04112499984912579
Control4B,7.0,9.5,median_p_cs,frac_S,-0.02099996805191051,0.05970149253731338
Control4B,7.0,9.5,median_p_cs,mean_p_cs,-0.02099996805191051,0.0729625017382205
Control4C,7.0,9.5,median_p_el,frac_E,0.0389999970793725,-0.058333333333333334
Control4C,7.0,9.5,median_p_el,mean_p_el,0.0389999970793725,-0.027453622266488314
Control4C,7.0,9.5,median_p_cs,frac_S,-0.017499983310699463,0.05833333333333335
Control4C,7.0,9.5,median_p_cs,mean_p_cs,-0.017499983310699463,0.05120289951994794
Control4C,11.0,12.5,median_p_el,frac_E,0.0034999847412110485,-0.02276607854297097
Control4C,11.0,12.5,median_p_el,mean_p_el,0.0034999847412110485,-0.020763567446680398
Control4C,11.0,12.5,median_p_cs,frac_S,-0.005999997258186396,0.02276607854297097
