model_id,reason,excluded_n,remaining_n
A_RG4_all_fiducial_catalog_morphology,input_rows,0,472
A_RG4_all_fiducial_catalog_morphology,missing_or_unclassified_outcome,73,399
A_RG4_all_debiased_t0.5,input_rows,0,472
A_RG4_all_debiased_t0.5,missing_or_unclassified_outcome,73,399
A_RG4_all_debiased_t0.8,input_rows,0,472
A_RG4_all_debiased_t0.8,missing_or_unclassified_outcome,244,228
A_RG4_satellites_fiducial_catalog_morphology,input_rows,0,354
A_RG4_satellites_fiducial_catalog_morphology,missing_or_unclassified_outcome,55,299
A_RG4_satellites_debiased_t0.5,input_rows,0,354
A_RG4_satellites_debiased_t0.5,missing_or_unclassified_outcome,55,299
A_RG4_satellites_debiased_t0.8,input_rows,0,354
A_RG4_satellites_debiased_t0.8,missing_or_unclassified_outcome,204,150
A_Control4C_all_fiducial_catalog_morphology,input_rows,0,3064
A_Control4C_all_fiducial_catalog_morphology,missing_or_unclassified_outcome,557,2507
A_Control4C_all_fiducial_catalog_morphology,missing_covariate:logMstar,14,2493
A_Control4C_all_debiased_t0.5,input_rows,0,3064
A_Control4C_all_debiased_t0.5,missing_or_unclassified_outcome,557,2507
A_Control4C_all_debiased_t0.5,missing_covariate:logMstar,14,2493
A_Control4C_all_debiased_t0.8,input_rows,0,3064
A_Control4C_all_debiased_t0.8,missing_or_unclassified_outcome,1653,1411
A_Control4C_all_debiased_t0.8,missing_covariate:logMstar,2,1409
A_Control4C_satellites_fiducial_catalog_morphology,input_rows,0,2298
A_Control4C_satellites_fiducial_catalog_morphology,missing_or_unclassified_outcome,448,1850
A_Control4C_satellites_fiducial_catalog_morphology,missing_covariate:logMstar,14,1836
A_Control4C_satellites_debiased_t0.5,input_rows,0,2298
A_Control4C_satellites_debiased_t0.5,missing_or_unclassified_outcome,448,1850
A_Control4C_satellites_debiased_t0.5,missing_covariate:logMstar,14,1836
A_Control4C_satellites_debiased_t0.8,input_rows,0,2298
A_Control4C_satellites_debiased_t0.8,missing_or_unclassified_outcome,1434,864
A_Control4C_satellites_debiased_t0.8,missing_covariate:logMstar,2,862
B_RG4_all_concentration_ge_2.6,input_rows,0,472
B_RG4_all_concentration_ge_2.6,missing_covariate:logMstar,19,453
B_RG4_all_concentration_ge_2.5,input_rows,0,472
B_RG4_all_concentration_ge_2.5,missing_covariate:logMstar,19,453
B_RG4_all_concentration_ge_2.86,input_rows,0,472
B_RG4_all_concentration_ge_2.86,missing_covariate:logMstar,19,453
B_RG4_all_concentration_continuous,input_rows,0,472
B_RG4_all_concentration_continuous,missing_covariate:logMstar,19,453
B_RG4_all_sersic_ge_2.5,input_rows,0,472
B_RG4_all_sersic_ge_2.5,missing_or_invalid_sersic_n,79,393
B_RG4_all_sersic_ge_2,input_rows,0,472
B_RG4_all_sersic_ge_2,missing_or_invalid_sersic_n,79,393
B_RG4_all_sersic_ge_3,input_rows,0,472
B_RG4_all_sersic_ge_3,missing_or_invalid_sersic_n,79,393
B_RG4_all_sersic_continuous,input_rows,0,472
B_RG4_all_sersic_continuous,missing_continuous_outcome,79,393
B_RG4_satellites_concentration_ge_2.6,input_rows,0,354
B_RG4_satellites_concentration_ge_2.6,missing_covariate:logMstar,11,343
B_RG4_satellites_concentration_ge_2.5,input_rows,0,354
B_RG4_satellites_concentration_ge_2.5,missing_covariate:logMstar,11,343
B_RG4_satellites_concentration_ge_2.86,input_rows,0,354
B_RG4_satellites_concentration_ge_2.86,missing_covariate:logMstar,11,343
