task,model_id,contrast,scope,proxy,outcome,definition,threshold,model_type,effect_type,status,estimate,ci_low,ci_high,p,n,n_cg4,n_control,n_clusters,formula,notes
A,A_RG4_all_fiducial_catalog_morphology,CG4_vs_RG4,all,catalog_morphology_flag,elliptical,fiducial morphology == Elliptical; Spiral is reference; Uncertain excluded,0.5,logistic,OR,ok,2.8054220033141632,1.7948630047452372,4.384954503976964,5.986749710263143e-06,399,210,189,113,elliptical ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,The catalog flag is already based on GZ1 debiased p_E/p_S > 0.5.
A,A_RG4_all_debiased_t0.5,CG4_vs_RG4,all,gz1_debiased_votes,elliptical_debiased_t0p5,elliptical if p_E > 0.5 and p_E > p_S; spiral if p_S > 0.5 and p_S > p_E; otherwise excluded,0.5,logistic,OR,ok,2.8054220033141632,1.7948630047452372,4.384954503976964,5.986749710263143e-06,399,210,189,113,elliptical_debiased_t0p5 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
A,A_RG4_all_debiased_t0.8,CG4_vs_RG4,all,gz1_debiased_votes,elliptical_debiased_t0p8,elliptical if p_E > 0.8 and p_E > p_S; spiral if p_S > 0.8 and p_S > p_E; otherwise excluded,0.8,logistic,OR,ok,4.760609664283684,2.2063507624689978,10.271895457959696,6.985704553420062e-05,228,124,104,102,elliptical_debiased_t0p8 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
A,A_RG4_satellites_fiducial_catalog_morphology,CG4_vs_RG4,satellites,catalog_morphology_flag,elliptical,fiducial morphology == Elliptical; Spiral is reference; Uncertain excluded,0.5,logistic,OR,ok,3.0309818230595447,1.718967402388407,5.344400829796283,0.00012709680487124202,299,157,142,113,elliptical ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,The catalog flag is already based on GZ1 debiased p_E/p_S > 0.5.
A,A_RG4_satellites_debiased_t0.5,CG4_vs_RG4,satellites,gz1_debiased_votes,elliptical_debiased_t0p5,elliptical if p_E > 0.5 and p_E > p_S; spiral if p_S > 0.5 and p_S > p_E; otherwise excluded,0.5,logistic,OR,ok,3.0309818230595447,1.718967402388407,5.344400829796283,0.00012709680487124202,299,157,142,113,elliptical_debiased_t0p5 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
A,A_RG4_satellites_debiased_t0.8,CG4_vs_RG4,satellites,gz1_debiased_votes,elliptical_debiased_t0p8,elliptical if p_E > 0.8 and p_E > p_S; spiral if p_S > 0.8 and p_S > p_E; otherwise excluded,0.8,logistic,OR,ok,10.831239055853365,3.0691980419322342,38.22358084497747,0.00021310786329445337,150,81,69,91,elliptical_debiased_t0p8 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
A,A_Control4C_all_fiducial_catalog_morphology,CG4_vs_Control4C,all,catalog_morphology_flag,elliptical,fiducial morphology == Elliptical; Spiral is reference; Uncertain excluded,0.5,logistic,OR,ok,1.6706461703756417,1.2468499415757777,2.238487995647205,0.0005864042942453806,2557,210,2347,740,elliptical ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,The catalog flag is already based on GZ1 debiased p_E/p_S > 0.5.
A,A_Control4C_all_debiased_t0.5,CG4_vs_Control4C,all,gz1_debiased_votes,elliptical_debiased_t0p5,elliptical if p_E > 0.5 and p_E > p_S; spiral if p_S > 0.5 and p_S > p_E; otherwise excluded,0.5,logistic,OR,ok,1.6706461703756417,1.2468499415757777,2.238487995647205,0.0005864042942453806,2557,210,2347,740,elliptical_debiased_t0p5 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
A,A_Control4C_all_debiased_t0.8,CG4_vs_Control4C,all,gz1_debiased_votes,elliptical_debiased_t0p8,elliptical if p_E > 0.8 and p_E > p_S; spiral if p_S > 0.8 and p_S > p_E; otherwise excluded,0.8,logistic,OR,ok,2.1582087538134918,1.4269357863550787,3.2642429109827678,0.00026829210009843486,1588,124,1464,699,elliptical_debiased_t0p8 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
A,A_Control4C_satellites_fiducial_catalog_morphology,CG4_vs_Control4C,satellites,catalog_morphology_flag,elliptical,fiducial morphology == Elliptical; Spiral is reference; Uncertain excluded,0.5,logistic,OR,ok,1.9320387373593795,1.4032726121748909,2.660048838886629,5.4226720085294193e-05,1901,157,1744,734,elliptical ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,The catalog flag is already based on GZ1 debiased p_E/p_S > 0.5.
