sample,cell,n_cell,n_complete,fraction,n_satellites_total,n_missing_morphology,n_missing_sfr_class
CG4,late_SF,49,154,0.3181818181818182,186,29,12
CG4,early_passive,74,154,0.4805194805194805,186,29,12
CG4,early_SF,11,154,0.07142857142857142,186,29,12
CG4,late_passive,20,154,0.12987012987012986,186,29,12
RG4,late_SF,79,142,0.5563380281690141,168,26,2
RG4,early_passive,31,142,0.21830985915492956,168,26,2
RG4,early_SF,8,142,0.056338028169014086,168,26,2
RG4,late_passive,24,142,0.16901408450704225,168,26,2
Control4C,late_SF,742,1736,0.4274193548387097,2109,365,132
Control4C,early_passive,593,1736,0.3415898617511521,2109,365,132
Control4C,early_SF,111,1736,0.06394009216589862,2109,365,132
Control4C,late_passive,290,1736,0.16705069124423963,2109,365,132
