task,model_id,contrast,scope,proxy,outcome,definition,threshold,model_type,effect_type,status,estimate,ci_low,ci_high,p,p_holm,n,n_cg4,n_control,n_clusters,formula,notes
B,B_RG4_all_concentration_ge_2.6,CG4_vs_RG4,all,concentration_r90_r50,early_concentration_t2p6,early type if C = petroR90_r / petroR50_r >= 2.6,2.6,logistic,OR,ok,1.1423190765171027,0.762323374505707,1.7117314203056981,0.5190445307041072,1.0,453,234,219,116,early_concentration_t2p6 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_RG4_all_concentration_ge_2.5,CG4_vs_RG4,all,concentration_r90_r50,early_concentration_t2p5,early type if C = petroR90_r / petroR50_r >= 2.5,2.5,logistic,OR,ok,1.0546515174116091,0.6955536403975138,1.59914312653576,0.8021673656613635,1.0,453,234,219,116,early_concentration_t2p5 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_RG4_all_concentration_ge_2.86,CG4_vs_RG4,all,concentration_r90_r50,early_concentration_t2p86,early type if C = petroR90_r / petroR50_r >= 2.86,2.86,logistic,OR,ok,1.8575156739822705,1.0655260023433546,3.23817952025723,0.028977678190505177,1.0,453,234,219,116,early_concentration_t2p86 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_RG4_all_concentration_continuous,CG4_vs_RG4,all,concentration_r90_r50,concentration_r90_r50,continuous C = petroR90_r / petroR50_r,,OLS,beta,ok,0.10493653332150155,0.0007201977254216035,0.2091528689175815,0.04843765510301245,1.0,453,234,219,116,concentration_r90_r50 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,covariance=cluster
B,B_RG4_all_sersic_ge_2.5,CG4_vs_RG4,all,simard_sersic_n,early_sersic_t2p5,early type if valid Simard pure-Sersic n_g >= 2.5,2.5,logistic,OR,ok,1.9316870029849598,1.0986821990736606,3.3962638883629035,0.022204673470885755,0.8659822653645445,393,194,199,116,early_sersic_t2p5 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_RG4_all_sersic_ge_2,CG4_vs_RG4,all,simard_sersic_n,early_sersic_t2p0,early type if valid Simard pure-Sersic n_g >= 2,2.0,logistic,OR,ok,1.5805930770130232,0.9124265123575578,2.738055548875243,0.10246003476320052,1.0,393,194,199,116,early_sersic_t2p0 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_RG4_all_sersic_ge_3,CG4_vs_RG4,all,simard_sersic_n,early_sersic_t3p0,early type if valid Simard pure-Sersic n_g >= 3,3.0,logistic,OR,ok,1.9078689577383574,1.071507394528474,3.3970497809802267,0.028192127751144942,1.0,393,194,199,116,early_sersic_t3p0 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_RG4_all_sersic_continuous,CG4_vs_RG4,all,simard_sersic_n,sersic_n_valid,continuous valid Simard pure-Sersic n_g; pegged fits excluded,,OLS,beta,ok,0.4892235276374488,0.18218870314735874,0.7962583521275388,0.0017903609758096847,0.07519516098400676,393,194,199,116,sersic_n_valid ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,covariance=cluster
B,B_RG4_satellites_concentration_ge_2.6,CG4_vs_RG4,satellites,concentration_r90_r50,early_concentration_t2p6,early type if C = petroR90_r / petroR50_r >= 2.6,2.6,logistic,OR,ok,1.133032707386644,0.6437895319849627,1.9940726778357956,0.6649781462943236,1.0,343,177,166,116,early_concentration_t2p6 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_RG4_satellites_concentration_ge_2.5,CG4_vs_RG4,satellites,concentration_r90_r50,early_concentration_t2p5,early type if C = petroR90_r / petroR50_r >= 2.5,2.5,logistic,OR,ok,1.036944946633354,0.6179517321370825,1.7400304367298407,0.8907395023930719,1.0,343,177,166,116,early_concentration_t2p5 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
